date;value
01-01-2017;1.02
02-01-2017;1.2
03-01-2017;0.83
04-01-2017;1.2
05-01-2017;0.95
06-01-2017;0.51
07-01-2017;0.76
08-01-2017;0.85
09-01-2017;1.4
10-01-2017;0.39
11-01-2017;0.2
12-01-2017;0.12
13-01-2017;0.12
14-01-2017;0.13
15-01-2017;0.14
16-01-2017;0.1
17-01-2017;0.14
18-01-2017;0.22
19-01-2017;0.27
20-01-2017;0.37
21-01-2017;0.48
22-01-2017;0.34
23-01-2017;0.6
24-01-2017;0.91
25-01-2017;0.98
26-01-2017;0.77
27-01-2017;0.65
28-01-2017;0.64
29-01-2017;0.86
30-01-2017;0.84
31-01-2017;0.49
01-02-2017;0.75
02-02-2017;0.21
03-02-2017;0.3
04-02-2017;0.32
05-02-2017;0.24
06-02-2017;0.74
07-02-2017;0.32
08-02-2017;0.41
09-02-2017;0.63
10-02-2017;0.38
11-02-2017;0.45
12-02-2017;0.54
13-02-2017;0.65
14-02-2017;1.21
15-02-2017;2.24
16-02-2017;1.18
17-02-2017;1.25
18-02-2017;1.68
19-02-2017;0.92
20-02-2017;0.85
21-02-2017;0.54
22-02-2017;0.37
23-02-2017;0.79
24-02-2017;0.32
25-02-2017;0.55
26-02-2017;0.6
27-02-2017;0.71
28-02-2017;0.34
01-03-2017;0.51
02-03-2017;0.52
03-03-2017;0.8
04-03-2017;0.3
05-03-2017;0.57
06-03-2017;0.15
07-03-2017;0.58
08-03-2017;0.54
09-03-2017;0.7
10-03-2017;1.16
11-03-2017;0.74
12-03-2017;0.16
13-03-2017;0.34
14-03-2017;0.21
15-03-2017;0.3
16-03-2017;0.55
17-03-2017;0.39
18-03-2017;0.1
19-03-2017;0.27
20-03-2017;0.49
21-03-2017;0.29
22-03-2017;0.21
23-03-2017;0.22
24-03-2017;0.36
25-03-2017;0.62
26-03-2017;0.5
27-03-2017;0.32
28-03-2017;0.63
29-03-2017;0.74
30-03-2017;0.94
31-03-2017;0.36
01-04-2017;0.04
02-04-2017;0.08
03-04-2017;0.96
04-04-2017;0.66
05-04-2017;0.28
06-04-2017;0.33
07-04-2017;0.34
08-04-2017;0.65
09-04-2017;0.74
10-04-2017;0.31
11-04-2017;0.25
12-04-2017;0.28
13-04-2017;0.26
14-04-2017;0.28
15-04-2017;0.25
16-04-2017;0.26
17-04-2017;0.25
18-04-2017;0.25
19-04-2017;0.34
20-04-2017;0.29
21-04-2017;0.43
22-04-2017;0.38
23-04-2017;0.28
24-04-2017;0.33
25-04-2017;0.38
26-04-2017;0.32
27-04-2017;0.27
28-04-2017;0.29
29-04-2017;0.29
30-04-2017;0.29
01-05-2017;0.37
02-05-2017;0.37
03-05-2017;0.25
04-05-2017;0.55
05-05-2017;0.85
06-05-2017;0.3
07-05-2017;0.15
08-05-2017;0.22
09-05-2017;0.16
10-05-2017;0.29
11-05-2017;0.72
12-05-2017;0.23
13-05-2017;0.18
14-05-2017;0.26
15-05-2017;0.29
16-05-2017;0.63
17-05-2017;0.99
18-05-2017;0.75
19-05-2017;0.62
20-05-2017;0.48
21-05-2017;0.36
22-05-2017;0.36
23-05-2017;0.24
24-05-2017;0.33
25-05-2017;0.87
26-05-2017;0.75
27-05-2017;0.74
28-05-2017;0.54
29-05-2017;0.4
30-05-2017;0.27
31-05-2017;0.3
01-06-2017;0.77
02-06-2017;0.37
03-06-2017;0.41
04-06-2017;0.34
05-06-2017;0.35
06-06-2017;0.22
07-06-2017;0.44
08-06-2017;0.35
09-06-2017;0.35
10-06-2017;0.25
11-06-2017;0.41
12-06-2017;0.31
13-06-2017;0.2
14-06-2017;0.41
15-06-2017;0.25
16-06-2017;0.15
17-06-2017;0.15
18-06-2017;0.29
19-06-2017;0.58
20-06-2017;0.5
21-06-2017;0.41
22-06-2017;0.22
23-06-2017;0.38
24-06-2017;0.35
25-06-2017;0.35
26-06-2017;0.3
