date;value
01-01-2017;0.67
02-01-2017;0.81
03-01-2017;0.56
04-01-2017;0.77
05-01-2017;0.75
06-01-2017;0.44
07-01-2017;0.46
08-01-2017;0.49
09-01-2017;0.75
10-01-2017;0.3
11-01-2017;0.26
12-01-2017;0.17
13-01-2017;0.2
14-01-2017;0.22
15-01-2017;0.28
16-01-2017;0.24
17-01-2017;0.24
18-01-2017;0.36
19-01-2017;0.37
20-01-2017;0.55
21-01-2017;0.73
22-01-2017;0.56
23-01-2017;0.57
24-01-2017;0.53
25-01-2017;0.58
26-01-2017;0.47
27-01-2017;0.44
28-01-2017;0.41
29-01-2017;0.51
30-01-2017;0.57
31-01-2017;0.26
01-02-2017;0.42
02-02-2017;0.2
03-02-2017;0.24
04-02-2017;0.27
05-02-2017;0.17
06-02-2017;0.48
07-02-2017;0.2
08-02-2017;0.26
09-02-2017;0.3
10-02-2017;0.26
11-02-2017;0.23
12-02-2017;0.32
13-02-2017;0.46
14-02-2017;0.51
15-02-2017;0.67
16-02-2017;0.52
17-02-2017;0.51
18-02-2017;0.49
19-02-2017;0.35
20-02-2017;0.5
21-02-2017;0.4
22-02-2017;0.28
23-02-2017;0.35
24-02-2017;0.23
25-02-2017;0.28
26-02-2017;0.27
27-02-2017;0.26
28-02-2017;0.2
01-03-2017;0.28
02-03-2017;0.4
03-03-2017;0.27
04-03-2017;0.22
05-03-2017;0.31
06-03-2017;0.15
07-03-2017;0.27
08-03-2017;0.28
09-03-2017;0.68
10-03-2017;0.59
11-03-2017;0.33
12-03-2017;0.16
13-03-2017;0.17
14-03-2017;0.16
15-03-2017;0.18
16-03-2017;0.4
17-03-2017;0.17
18-03-2017;0.15
19-03-2017;0.25
20-03-2017;0.23
21-03-2017;0.17
22-03-2017;0.15
23-03-2017;0.15
24-03-2017;0.17
25-03-2017;0.28
26-03-2017;0.19
27-03-2017;0.18
28-03-2017;0.32
29-03-2017;0.4
30-03-2017;0.37
31-03-2017;0.21
01-04-2017;0.12
02-04-2017;0.12
03-04-2017;0.29
04-04-2017;0.32
05-04-2017;0.11
06-04-2017;0.14
07-04-2017;0.26
08-04-2017;0.34
09-04-2017;0.64
10-04-2017;0.39
11-04-2017;0.1
12-04-2017;0.39
13-04-2017;0.4
14-04-2017;0.21
15-04-2017;0.11
16-04-2017;0.11
17-04-2017;0.1
18-04-2017;0.1
19-04-2017;0.1
20-04-2017;0.11
21-04-2017;0.3
