date;value
01-01-2017;2.51
02-01-2017;4.67
03-01-2017;1.94
04-01-2017;6.53
05-01-2017;3.41
06-01-2017;1.19
07-01-2017;1.31
08-01-2017;2.65
09-01-2017;6.22
10-01-2017;0.95
11-01-2017;0.88
12-01-2017;0.29
13-01-2017;0.32
14-01-2017;0.29
15-01-2017;0.26
16-01-2017;0.28
17-01-2017;0.56
18-01-2017;0.47
19-01-2017;0.54
20-01-2017;1.98
21-01-2017;2.09
22-01-2017;0.33
23-01-2017;1.39
24-01-2017;2.69
25-01-2017;3.2
26-01-2017;2.54
27-01-2017;2.06
28-01-2017;1.42
29-01-2017;2.08
30-01-2017;2.31
31-01-2017;1
01-02-2017;2.24
02-02-2017;0.35
03-02-2017;0.83
04-02-2017;0.76
05-02-2017;0.34
06-02-2017;2.64
07-02-2017;0.68
08-02-2017;0.63
09-02-2017;1.57
10-02-2017;0.91
11-02-2017;1.06
12-02-2017;1.1
13-02-2017;1.61
14-02-2017;2.68
15-02-2017;3.91
16-02-2017;3.08
17-02-2017;2.65
18-02-2017;1.87
19-02-2017;0.67
20-02-2017;1.05
21-02-2017;1.1
22-02-2017;0.69
23-02-2017;0.95
24-02-2017;0.42
25-02-2017;0.86
26-02-2017;0.26
27-02-2017;0.55
28-02-2017;0.62
01-03-2017;1.53
02-03-2017;0.8
03-03-2017;0.92
04-03-2017;0.26
05-03-2017;0.76
06-03-2017;0.18
07-03-2017;1.15
08-03-2017;0.87
09-03-2017;1.86
10-03-2017;2.56
11-03-2017;1.01
12-03-2017;0.13
13-03-2017;0.32
14-03-2017;0.18
15-03-2017;0.38
16-03-2017;1.04
17-03-2017;0.31
18-03-2017;0.12
19-03-2017;0.21
20-03-2017;0.6
21-03-2017;0.28
22-03-2017;0.23
23-03-2017;0.23
24-03-2017;0.37
25-03-2017;0.66
26-03-2017;0.48
27-03-2017;0.38
28-03-2017;1.19
29-03-2017;1.38
30-03-2017;1.82
31-03-2017;0.55
01-04-2017;0.15
02-04-2017;0.12
03-04-2017;0.72
04-04-2017;0.43
05-04-2017;0.2
06-04-2017;0.31
07-04-2017;0.35
08-04-2017;0.51
09-04-2017;0.31
10-04-2017;0.25
11-04-2017;0.21
12-04-2017;0.25
13-04-2017;0.2
14-04-2017;0.45
15-04-2017;0.2
16-04-2017;0.24
17-04-2017;0.22
18-04-2017;0.2
19-04-2017;0.21
20-04-2017;0.25
21-04-2017;0.49
22-04-2017;0.42
23-04-2017;0.21
24-04-2017;0.42
25-04-2017;0.2
26-04-2017;0.2
27-04-2017;0.21
28-04-2017;0.27
29-04-2017;0.25
30-04-2017;0.23
01-05-2017;0.36
02-05-2017;0.36
03-05-2017;0.2
04-05-2017;0.28
05-05-2017;0.35
06-05-2017;0.26
07-05-2017;0.21
08-05-2017;0.25
09-05-2017;0.23
10-05-2017;0.38
11-05-2017;0.27
12-05-2017;0.26
13-05-2017;0.28
14-05-2017;0.23
15-05-2017;0.47
16-05-2017;0.41
17-05-2017;0.66
18-05-2017;0.27
19-05-2017;0.61
20-05-2017;0.26
21-05-2017;0.37
22-05-2017;0.37
23-05-2017;0.47
24-05-2017;0.38
25-05-2017;1.26
26-05-2017;0.84
27-05-2017;0.38
28-05-2017;0.21
29-05-2017;0.27
30-05-2017;0.36
31-05-2017;0.33
01-06-2017;1.5
02-06-2017;0.24
03-06-2017;0.22
04-06-2017;0.23
05-06-2017;0.33
06-06-2017;0.2
07-06-2017;0.34
08-06-2017;0.29
09-06-2017;0.3
10-06-2017;0.25
11-06-2017;0.2
12-06-2017;0.24
13-06-2017;0.27
14-06-2017;0.27
15-06-2017;0.22
16-06-2017;0.2
17-06-2017;0.2
18-06-2017;0.23
19-06-2017;0.46
20-06-2017;0.41
21-06-2017;0.45
22-06-2017;0.33
23-06-2017;0.28
24-06-2017;0.25
25-06-2017;0.25
26-06-2017;0.3
27-06-2017;0.31
28-06-2017;0.27
29-06-2017;0.26
30-06-2017;0.29
01-07-2017;0.26
02-07-2017;0.25
03-07-2017;0.25
04-07-2017;0.29
05-07-2017;0.28
06-07-2017;0.35
07-07-2017;0.33
08-07-2017;0.25
09-07-2017;0.25
10-07-2017;0.25
11-07-2017;0.25
12-07-2017;0.34
13-07-2017;0.3
14-07-2017;0.26
15-07-2017;0.25
16-07-2017;0.25
17-07-2017;0.26
18-07-2017;0.34
19-07-2017;0.31
20-07-2017;0.27
21-07-2017;0.29
22-07-2017;0.25
23-07-2017;0.25
24-07-2017;0.25
25-07-2017;0.25
26-07-2017;0.32
27-07-2017;0.35
28-07-2017;0.32
29-07-2017;0.25
30-07-2017;0.25
31-07-2017;0.26
01-08-2017;0.28
02-08-2017;0.37
03-08-2017;0.27
04-08-2017;0.28
05-08-2017;0.25
06-08-2017;0.25
07-08-2017;0.27
08-08-2017;0.26
09-08-2017;0.3
10-08-2017;0.5
11-08-2017;0.29
12-08-2017;0.48
13-08-2017;0.26
14-08-2017;0.25
15-08-2017;0.25
16-08-2017;0.31
17-08-2017;0.28
18-08-2017;0.25
19-08-2017;0.25
20-08-2017;0.25
21-08-2017;0.55
22-08-2017;0.56
23-08-2017;0.27
24-08-2017;0.27
25-08-2017;0.35
26-08-2017;0.31
27-08-2017;0.37
28-08-2017;0.39
29-08-2017;0.26
30-08-2017;0.27
31-08-2017;0.55
01-09-2017;0.35
02-09-2017;0.28
03-09-2017;0.32
04-09-2017;0.26
05-09-2017;0.33
06-09-2017;0.28
07-09-2017;0.28
08-09-2017;0.25
09-09-2017;0.26
10-09-2017;0.29
11-09-2017;0.27
12-09-2017;0.28
13-09-2017;0.37
14-09-2017;0.26
15-09-2017;0.29
16-09-2017;0.38
17-09-2017;0.26
18-09-2017;0.36
19-09-2017;0.28
20-09-2017;0.65
21-09-2017;0.42
22-09-2017;0.25
23-09-2017;0.37
24-09-2017;0.26
25-09-2017;0.27
26-09-2017;0.42
27-09-2017;0.74
28-09-2017;0.75
29-09-2017;0.47
30-09-2017;0.32
01-10-2017;0.26
02-10-2017;0.31
03-10-2017;0.28
04-10-2017;0.26
05-10-2017;0.29
06-10-2017;0.26
07-10-2017;0.29
08-10-2017;0.3
09-10-2017;0.38
10-10-2017;0.64
11-10-2017;0.62
12-10-2017;0.7
13-10-2017;0.43
14-10-2017;0.7
15-10-2017;2.63
16-10-2017;0.66
17-10-2017;0.36
18-10-2017;1.11
19-10-2017;0.63
20-10-2017;1.27
21-10-2017;0.27
22-10-2017;0.3
23-10-2017;0.5
24-10-2017;1.6
25-10-2017;1.64
26-10-2017;1.24
27-10-2017;0.71
28-10-2017;0.25
29-10-2017;0.25
30-10-2017;0.25
31-10-2017;0.58
01-11-2017;1.61
02-11-2017;1.09
03-11-2017;0.66
04-11-2017;0.5
05-11-2017;0.34
06-11-2017;0.45
07-11-2017;0.38
08-11-2017;0.35
09-11-2017;0.43
10-11-2017;0.47
11-11-2017;0.29
12-11-2017;0.31
13-11-2017;0.5
14-11-2017;0.35
15-11-2017;0.31
16-11-2017;1.14
17-11-2017;0.45
18-11-2017;0.59
19-11-2017;0.73
20-11-2017;0.93
21-11-2017;0.58
22-11-2017;0.25
23-11-2017;1.87
24-11-2017;0.45
25-11-2017;0.26
26-11-2017;0.39
27-11-2017;0.74
28-11-2017;0.56
29-11-2017;0.56
30-11-2017;0.37
01-12-2017;0.36
02-12-2017;0.27
03-12-2017;0.39
04-12-2017;0.87
05-12-2017;1.14
06-12-2017;1.31
07-12-2017;1.2
08-12-2017;0.26
09-12-2017;0.33
10-12-2017;0.27
11-12-2017;0.26
12-12-2017;0.43
13-12-2017;0.86
14-12-2017;0.37
15-12-2017;0.28
16-12-2017;0.32
17-12-2017;0.5
18-12-2017;0.49
19-12-2017;0.77
20-12-2017;0.89
21-12-2017;1.33
22-12-2017;1.1
23-12-2017;0.81
24-12-2017;0.88
25-12-2017;0.36
26-12-2017;1.01
27-12-2017;0.31
28-12-2017;0.82
29-12-2017;1.71
30-12-2017;2.69
31-12-2017;0.41
01-01-2018;0.46
02-01-2018;0.32
03-01-2018;0.26
04-01-2018;0.63
05-01-2018;0.28
06-01-2018;0.26
07-01-2018;0.39
08-01-2018;0.67
09-01-2018;0.61
10-01-2018;0.79
11-01-2018;0.3
