date;value
01-01-2017;93
02-01-2017;112
03-01-2017;101
04-01-2017;169
05-01-2017;104
06-01-2017;57
07-01-2017;90
08-01-2017;94
09-01-2017;170
10-01-2017;29
11-01-2017;37
12-01-2017;22
13-01-2017;12
14-01-2017;9
15-01-2017;8
16-01-2017;17
17-01-2017;32
18-01-2017;112
19-01-2017;72
20-01-2017;143
21-01-2017;107
22-01-2017;82
23-01-2017;83
24-01-2017;58
25-01-2017;67
26-01-2017;59
27-01-2017;50
28-01-2017;30
29-01-2017;36
30-01-2017;73
31-01-2017;23
01-02-2017;55
02-02-2017;10
03-02-2017;18
04-02-2017;16
05-02-2017;7
06-02-2017;76
07-02-2017;23
08-02-2017;24
09-02-2017;44
10-02-2017;21
11-02-2017;16
12-02-2017;23
13-02-2017;62
14-02-2017;68
15-02-2017;64
16-02-2017;63
17-02-2017;72
18-02-2017;37
19-02-2017;22
20-02-2017;45
21-02-2017;25
22-02-2017;11
23-02-2017;24
24-02-2017;14
25-02-2017;23
26-02-2017;9
27-02-2017;20
28-02-2017;17
01-03-2017;31
02-03-2017;24
03-03-2017;26
04-03-2017;12
05-03-2017;15
06-03-2017;5
07-03-2017;28
08-03-2017;26
09-03-2017;44
10-03-2017;71
11-03-2017;21
12-03-2017;4
13-03-2017;12
14-03-2017;12
15-03-2017;20
16-03-2017;24
17-03-2017;6
18-03-2017;3
19-03-2017;3
20-03-2017;9
21-03-2017;9
22-03-2017;10
23-03-2017;13
24-03-2017;21
25-03-2017;13
26-03-2017;7
27-03-2017;9
28-03-2017;29
29-03-2017;45
30-03-2017;48
31-03-2017;23
01-04-2017;4
02-04-2017;2
03-04-2017;21
04-04-2017;13
05-04-2017;5
06-04-2017;19
07-04-2017;14
08-04-2017;17
09-04-2017;8
10-04-2017;5
11-04-2017;3
12-04-2017;4
13-04-2017;3
14-04-2017;2
15-04-2017;3
16-04-2017;7
17-04-2017;5
18-04-2017;3
19-04-2017;4
20-04-2017;8
21-04-2017;17
22-04-2017;10
23-04-2017;3
24-04-2017;14
25-04-2017;5
26-04-2017;6
27-04-2017;8
28-04-2017;14
29-04-2017;8
30-04-2017;3
01-05-2017;13
02-05-2017;13
03-05-2017;6
04-05-2017;13
05-05-2017;19
06-05-2017;7
07-05-2017;4
08-05-2017;13
09-05-2017;8
10-05-2017;12
11-05-2017;18
12-05-2017;8
13-05-2017;7
14-05-2017;6
15-05-2017;19
16-05-2017;15
17-05-2017;9
18-05-2017;10
19-05-2017;13
20-05-2017;6
21-05-2017;11
22-05-2017;3
23-05-2017;4
24-05-2017;6
25-05-2017;22
26-05-2017;23
27-05-2017;9
28-05-2017;2
29-05-2017;8
30-05-2017;5
31-05-2017;7
01-06-2017;11
02-06-2017;4
03-06-2017;4
04-06-2017;5
05-06-2017;12
06-06-2017;3
07-06-2017;9
08-06-2017;16
09-06-2017;17
10-06-2017;24
11-06-2017;19
12-06-2017;20
13-06-2017;20
14-06-2017;20
15-06-2017;21
16-06-2017;16
17-06-2017;16
18-06-2017;31
19-06-2017;50
