date;value
01-01-2017;43
02-01-2017;52
03-01-2017;44
04-01-2017;53
05-01-2017;45
06-01-2017;37
07-01-2017;44
08-01-2017;49
09-01-2017;67
10-01-2017;49
11-01-2017;42
12-01-2017;31
13-01-2017;40
14-01-2017;39
15-01-2017;39
16-01-2017;43
17-01-2017;41
18-01-2017;57
19-01-2017;55
20-01-2017;60
21-01-2017;57
22-01-2017;47
23-01-2017;48
24-01-2017;38
25-01-2017;41
26-01-2017;36
27-01-2017;38
28-01-2017;35
29-01-2017;35
30-01-2017;29
31-01-2017;32
01-02-2017;38
02-02-2017;20
03-02-2017;30
04-02-2017;28
05-02-2017;15
06-02-2017;55
07-02-2017;31
08-02-2017;39
09-02-2017;47
10-02-2017;43
11-02-2017;31
12-02-2017;30
13-02-2017;52
14-02-2017;50
15-02-2017;50
16-02-2017;52
17-02-2017;55
18-02-2017;49
19-02-2017;32
20-02-2017;45
21-02-2017;30
22-02-2017;27
23-02-2017;38
24-02-2017;31
25-02-2017;31
26-02-2017;24
27-02-2017;25
28-02-2017;27
01-03-2017;37
02-03-2017;38
03-03-2017;34
04-03-2017;23
05-03-2017;31
06-03-2017;14
07-03-2017;33
08-03-2017;30
09-03-2017;41
10-03-2017;56
11-03-2017;27
12-03-2017;13
13-03-2017;22
14-03-2017;23
15-03-2017;25
16-03-2017;33
17-03-2017;22
18-03-2017;13
19-03-2017;16
20-03-2017;25
21-03-2017;28
22-03-2017;22
23-03-2017;22
24-03-2017;29
25-03-2017;38
26-03-2017;22
27-03-2017;26
28-03-2017;41
29-03-2017;44
30-03-2017;40
31-03-2017;30
01-04-2017;9
02-04-2017;4
03-04-2017;33
04-04-2017;24
05-04-2017;14
06-04-2017;23
07-04-2017;27
08-04-2017;31
09-04-2017;31
10-04-2017;18
11-04-2017;13
12-04-2017;16
13-04-2017;17
14-04-2017;16
15-04-2017;11
16-04-2017;12
17-04-2017;9
18-04-2017;8
19-04-2017;13
20-04-2017;20
21-04-2017;32
22-04-2017;30
23-04-2017;16
24-04-2017;32
25-04-2017;21
26-04-2017;16
27-04-2017;18
28-04-2017;21
29-04-2017;20
30-04-2017;10
01-05-2017;19
02-05-2017;19
03-05-2017;13
04-05-2017;20
05-05-2017;37
06-05-2017;29
07-05-2017;24
08-05-2017;30
09-05-2017;29
10-05-2017;33
11-05-2017;38
12-05-2017;35
13-05-2017;29
14-05-2017;26
15-05-2017;32
16-05-2017;33
17-05-2017;30
18-05-2017;27
19-05-2017;28
20-05-2017;23
21-05-2017;38
22-05-2017;25
23-05-2017;15
24-05-2017;31
25-05-2017;55
26-05-2017;44
27-05-2017;28
28-05-2017;15
29-05-2017;27
30-05-2017;27
31-05-2017;24
01-06-2017;30
02-06-2017;20
03-06-2017;22
04-06-2017;22
05-06-2017;24
06-06-2017;8
07-06-2017;31
08-06-2017;20
09-06-2017;20
10-06-2017;10
11-06-2017;3
12-06-2017;5
13-06-2017;6
14-06-2017;8
15-06-2017;5
16-06-2017;4
17-06-2017;3
18-06-2017;6
19-06-2017;18
20-06-2017;16
21-06-2017;20
22-06-2017;17
23-06-2017;23
24-06-2017;14
25-06-2017;14
26-06-2017;20
27-06-2017;22
28-06-2017;18
29-06-2017;16
30-06-2017;17
01-07-2017;11
02-07-2017;13
03-07-2017;17
04-07-2017;31
05-07-2017;19
06-07-2017;23
07-07-2017;25
08-07-2017;12
09-07-2017;14
10-07-2017;14
11-07-2017;22
12-07-2017;22
13-07-2017;18
14-07-2017;14
15-07-2017;14
16-07-2017;13
17-07-2017;26
18-07-2017;22
19-07-2017;23
20-07-2017;18
21-07-2017;19
22-07-2017;17
23-07-2017;10
24-07-2017;9
25-07-2017;15
26-07-2017;21
27-07-2017;17
28-07-2017;26
29-07-2017;23
30-07-2017;10
31-07-2017;17
01-08-2017;18
02-08-2017;20
03-08-2017;24
04-08-2017;21
05-08-2017;12
06-08-2017;7
07-08-2017;17
08-08-2017;14
09-08-2017;17
10-08-2017;16
11-08-2017;19
12-08-2017;16
13-08-2017;13
14-08-2017;17
15-08-2017;10
16-08-2017;19
17-08-2017;23
18-08-2017;18
19-08-2017;8
20-08-2017;16
21-08-2017;42
22-08-2017;26
23-08-2017;19
24-08-2017;16
25-08-2017;26
26-08-2017;20
27-08-2017;25
28-08-2017;23
29-08-2017;19
30-08-2017;18
31-08-2017;19
01-09-2017;21
02-09-2017;19
03-09-2017;26
04-09-2017;17
05-09-2017;18
06-09-2017;14
07-09-2017;18
08-09-2017;9
09-09-2017;10
10-09-2017;14
11-09-2017;10
12-09-2017;18
13-09-2017;15
14-09-2017;14
15-09-2017;18
16-09-2017;16
17-09-2017;11
18-09-2017;14
19-09-2017;14
20-09-2017;14
21-09-2017;17
22-09-2017;13
23-09-2017;20
24-09-2017;15
25-09-2017;16
26-09-2017;25
27-09-2017;35
28-09-2017;35
29-09-2017;26
30-09-2017;24
01-10-2017;19
02-10-2017;27
03-10-2017;19
04-10-2017;18
05-10-2017;21
06-10-2017;19
07-10-2017;26
08-10-2017;26
09-10-2017;33
10-10-2017;39
11-10-2017;43
12-10-2017;33
13-10-2017;38
14-10-2017;46
15-10-2017;57
16-10-2017;36
17-10-2017;40
18-10-2017;38
19-10-2017;41
20-10-2017;38
21-10-2017;21
22-10-2017;23
23-10-2017;41
24-10-2017;61
25-10-2017;59
26-10-2017;54
27-10-2017;41
28-10-2017;22
29-10-2017;19
30-10-2017;24
31-10-2017;40
01-11-2017;48
02-11-2017;52
03-11-2017;42
04-11-2017;24
05-11-2017;23
06-11-2017;38
07-11-2017;33
08-11-2017;42
09-11-2017;43
10-11-2017;46
11-11-2017;32
12-11-2017;23
13-11-2017;41
14-11-2017;38
15-11-2017;46
16-11-2017;47
17-11-2017;40
18-11-2017;33
19-11-2017;33
20-11-2017;61
21-11-2017;67
22-11-2017;41
23-11-2017;56
24-11-2017;55
25-11-2017;37
26-11-2017;34
27-11-2017;44
28-11-2017;42
29-11-2017;42
30-11-2017;39
01-12-2017;35
02-12-2017;36
03-12-2017;35
04-12-2017;41
05-12-2017;45
06-12-2017;44
07-12-2017;56
08-12-2017;28
09-12-2017;33
10-12-2017;24
11-12-2017;31
12-12-2017;39
13-12-2017;36
14-12-2017;34
15-12-2017;33
16-12-2017;35
17-12-2017;33
18-12-2017;46
19-12-2017;40
20-12-2017;40
21-12-2017;46
22-12-2017;42
23-12-2017;36
24-12-2017;37
25-12-2017;27
26-12-2017;39
27-12-2017;32
28-12-2017;49
29-12-2017;54
30-12-2017;53
31-12-2017;24
01-01-2018;28
02-01-2018;24
03-01-2018;22
04-01-2018;46
05-01-2018;33
06-01-2018;29
07-01-2018;35
08-01-2018;54
09-01-2018;52
10-01-2018;53
11-01-2018;36
12-01-2018;57
13-01-2018;59
14-01-2018;46
15-01-2018;48
16-01-2018;35
17-01-2018;46
18-01-2018;59
19-01-2018;54
20-01-2018;55
21-01-2018;54
22-01-2018;50
23-01-2018;45
24-01-2018;48
25-01-2018;48
26-01-2018;42
27-01-2018;41
28-01-2018;42
29-01-2018;57
30-01-2018;47
31-01-2018;41
01-02-2018;38
02-02-2018;43
03-02-2018;33
04-02-2018;26
05-02-2018;32
06-02-2018;46
07-02-2018;47
08-02-2018;47
09-02-2018;52
10-02-2018;42
11-02-2018;33
12-02-2018;43
13-02-2018;47
14-02-2018;74
15-02-2018;63
16-02-2018;38
17-02-2018;36
18-02-2018;38
19-02-2018;41
20-02-2018;40
21-02-2018;33
22-02-2018;45
23-02-2018;44
24-02-2018;41
25-02-2018;39
26-02-2018;34
27-02-2018;26
28-02-2018;45
01-03-2018;47
02-03-2018;43
03-03-2018;44
04-03-2018;24
05-03-2018;58
06-03-2018;34
07-03-2018;40
08-03-2018;47
09-03-2018;28
10-03-2018;28
11-03-2018;12
12-03-2018;24
13-03-2018;43
14-03-2018;38
15-03-2018;37
16-03-2018;39
17-03-2018;27
18-03-2018;21
19-03-2018;26
20-03-2018;35
21-03-2018;38
22-03-2018;49
23-03-2018;41
24-03-2018;17
25-03-2018;28
26-03-2018;46
27-03-2018;25
28-03-2018;27
29-03-2018;27
30-03-2018;18
31-03-2018;22
01-04-2018;36
02-04-2018;41
03-04-2018;27
04-04-2018;34
05-04-2018;36
06-04-2018;38
07-04-2018;22
08-04-2018;26
09-04-2018;33
10-04-2018;25
11-04-2018;26
12-04-2018;34
13-04-2018;39
14-04-2018;25
15-04-2018;16
16-04-2018;26
17-04-2018;29
18-04-2018;36
19-04-2018;25
20-04-2018;21
21-04-2018;33
22-04-2018;20
23-04-2018;17
24-04-2018;17
25-04-2018;18
26-04-2018;18
27-04-2018;16
28-04-2018;18
29-04-2018;17
30-04-2018;27
01-05-2018;14
02-05-2018;25
03-05-2018;25
04-05-2018;20
05-05-2018;18
06-05-2018;20
07-05-2018;29
08-05-2018;20
09-05-2018;23
10-05-2018;22
11-05-2018;29
12-05-2018;18
13-05-2018;20
14-05-2018;23
15-05-2018;22
16-05-2018;19
17-05-2018;19
18-05-2018;21
19-05-2018;14
20-05-2018;14
21-05-2018;32
22-05-2018;25
23-05-2018;26
24-05-2018;26
25-05-2018;26
26-05-2018;20
27-05-2018;17
28-05-2018;28
29-05-2018;27
30-05-2018;27
31-05-2018;21
01-06-2018;29
02-06-2018;23
03-06-2018;21
04-06-2018;24
05-06-2018;29
06-06-2018;21
07-06-2018;19
08-06-2018;30
09-06-2018;19
10-06-2018;19
11-06-2018;19
12-06-2018;18
13-06-2018;19
14-06-2018;22
15-06-2018;27
16-06-2018;13
17-06-2018;16
18-06-2018;20
19-06-2018;12
20-06-2018;24
21-06-2018;23
22-06-2018;15
23-06-2018;14
24-06-2018;22
25-06-2018;26
26-06-2018;23
27-06-2018;17
28-06-2018;21
29-06-2018;20
30-06-2018;17
01-07-2018;23
02-07-2018;25
03-07-2018;19
04-07-2018;27
05-07-2018;17
06-07-2018;20
07-07-2018;14
08-07-2018;16
09-07-2018;20
10-07-2018;17
11-07-2018;34
12-07-2018;20
13-07-2018;23
14-07-2018;19
