date;value
01-01-2017;5
02-01-2017;2
03-01-2017;9
04-01-2017;4
05-01-2017;12
06-01-2017;19
07-01-2017;15
08-01-2017;13
09-01-2017;9
10-01-2017;28
11-01-2017;32
12-01-2017;44
13-01-2017;67
14-01-2017;57
15-01-2017;44
16-01-2017;41
17-01-2017;50
18-01-2017;21
19-01-2017;16
20-01-2017;15
21-01-2017;12
22-01-2017;12
23-01-2017;15
24-01-2017;14
25-01-2017;10
26-01-2017;24
27-01-2017;23
28-01-2017;22
29-01-2017;10
30-01-2017;24
31-01-2017;43
01-02-2017;26
02-02-2017;55
03-02-2017;47
04-02-2017;45
05-02-2017;64
06-02-2017;19
07-02-2017;40
08-02-2017;30
09-02-2017;14
10-02-2017;40
11-02-2017;47
12-02-2017;47
13-02-2017;43
14-02-2017;36
15-02-2017;39
16-02-2017;42
17-02-2017;44
18-02-2017;40
19-02-2017;61
20-02-2017;42
21-02-2017;31
22-02-2017;22
23-02-2017;9
24-02-2017;41
25-02-2017;25
26-02-2017;27
27-02-2017;42
28-02-2017;49
01-03-2017;23
02-03-2017;19
03-03-2017;29
04-03-2017;49
05-03-2017;37
06-03-2017;58
07-03-2017;27
08-03-2017;16
09-03-2017;11
10-03-2017;15
11-03-2017;35
12-03-2017;52
13-03-2017;49
14-03-2017;34
15-03-2017;31
16-03-2017;27
17-03-2017;46
18-03-2017;50
19-03-2017;39
20-03-2017;33
21-03-2017;39
22-03-2017;45
23-03-2017;53
24-03-2017;38
25-03-2017;18
26-03-2017;48
27-03-2017;48
28-03-2017;29
29-03-2017;20
30-03-2017;24
31-03-2017;38
01-04-2017;67
02-04-2017;71
03-04-2017;28
04-04-2017;39
05-04-2017;53
06-04-2017;40
07-04-2017;35
08-04-2017;38
09-04-2017;42
10-04-2017;55
11-04-2017;63
12-04-2017;53
13-04-2017;51
14-04-2017;53
15-04-2017;57
16-04-2017;41
17-04-2017;56
18-04-2017;65
19-04-2017;69
20-04-2017;56
21-04-2017;44
22-04-2017;45
23-04-2017;58
24-04-2017;26
25-04-2017;52
26-04-2017;53
27-04-2017;44
28-04-2017;42
29-04-2017;51
30-04-2017;64
01-05-2017;37
02-05-2017;37
03-05-2017;42
04-05-2017;37
05-05-2017;31
06-05-2017;28
07-05-2017;33
08-05-2017;28
09-05-2017;27
10-05-2017;29
11-05-2017;38
12-05-2017;34
13-05-2017;38
14-05-2017;39
15-05-2017;30
16-05-2017;38
17-05-2017;37
18-05-2017;52
19-05-2017;48
20-05-2017;42
21-05-2017;33
22-05-2017;46
23-05-2017;49
24-05-2017;32
25-05-2017;29
26-05-2017;24
27-05-2017;31
28-05-2017;61
29-05-2017;47
30-05-2017;47
31-05-2017;36
01-06-2017;33
02-06-2017;68
03-06-2017;42
04-06-2017;38
05-06-2017;42
06-06-2017;78
07-06-2017;42
08-06-2017;29
09-06-2017;28
10-06-2017;41
11-06-2017;39
12-06-2017;41
13-06-2017;39
14-06-2017;38
15-06-2017;55
16-06-2017;51
17-06-2017;65
18-06-2017;53
19-06-2017;43
20-06-2017;67
21-06-2017;68
22-06-2017;51
23-06-2017;37
24-06-2017;30
25-06-2017;30
26-06-2017;24
27-06-2017;23
28-06-2017;34
29-06-2017;48
30-06-2017;48
01-07-2017;47
02-07-2017;33
03-07-2017;24
04-07-2017;25
05-07-2017;39
06-07-2017;32
07-07-2017;34
08-07-2017;58
09-07-2017;44
10-07-2017;30
11-07-2017;35
12-07-2017;20
13-07-2017;29
14-07-2017;41
15-07-2017;42
16-07-2017;55
17-07-2017;53
18-07-2017;52
19-07-2017;34
20-07-2017;40
21-07-2017;39
22-07-2017;32
23-07-2017;34
24-07-2017;39
25-07-2017;43
26-07-2017;34
27-07-2017;28
28-07-2017;34
29-07-2017;41
30-07-2017;47
31-07-2017;34
01-08-2017;31
02-08-2017;31
03-08-2017;23
04-08-2017;20
05-08-2017;44
06-08-2017;53
07-08-2017;39
08-08-2017;46
09-08-2017;52
10-08-2017;45
11-08-2017;40
12-08-2017;41
13-08-2017;37
14-08-2017;46
15-08-2017;42
16-08-2017;37
17-08-2017;35
18-08-2017;41
19-08-2017;46
20-08-2017;34
21-08-2017;32
22-08-2017;39
23-08-2017;25
24-08-2017;28
25-08-2017;23
26-08-2017;26
27-08-2017;16
28-08-2017;30
29-08-2017;44
30-08-2017;36
31-08-2017;40
01-09-2017;36
02-09-2017;31
03-09-2017;25
04-09-2017;25
05-09-2017;33
06-09-2017;43
07-09-2017;30
08-09-2017;47
09-09-2017;47
10-09-2017;35
11-09-2017;46
12-09-2017;24
13-09-2017;19
14-09-2017;41
15-09-2017;24
16-09-2017;27
17-09-2017;36
18-09-2017;25
19-09-2017;26
20-09-2017;16
21-09-2017;32
22-09-2017;47
23-09-2017;25
24-09-2017;36
