date;value
01-01-2017;28
02-01-2017;28
03-01-2017;29
04-01-2017;32
05-01-2017;26
06-01-2017;25
07-01-2017;27
08-01-2017;27
09-01-2017;30
10-01-2017;10
11-01-2017;10
12-01-2017;9
13-01-2017;6
14-01-2017;8
15-01-2017;10
16-01-2017;7
17-01-2017;7
18-01-2017;12
19-01-2017;16
20-01-2017;22
21-01-2017;24
22-01-2017;17
23-01-2017;16
24-01-2017;19
25-01-2017;22
26-01-2017;18
27-01-2017;7
28-01-2017;12
29-01-2017;12
30-01-2017;12
31-01-2017;12
01-02-2017;19
02-02-2017;7
03-02-2017;6
04-02-2017;8
05-02-2017;7
06-02-2017;7
07-02-2017;7
08-02-2017;10
09-02-2017;16
10-02-2017;10
11-02-2017;12
12-02-2017;11
13-02-2017;7
14-02-2017;10
15-02-2017;15
16-02-2017;18
17-02-2017;22
18-02-2017;20
19-02-2017;19
20-02-2017;25
21-02-2017;20
22-02-2017;24
23-02-2017;21
24-02-2017;10
25-02-2017;17
26-02-2017;20
27-02-2017;13
28-02-2017;11
01-03-2017;11
02-03-2017;13
03-03-2017;12
04-03-2017;11
05-03-2017;10
06-03-2017;13
07-03-2017;11
08-03-2017;21
09-03-2017;24
10-03-2017;25
11-03-2017;26
12-03-2017;14
13-03-2017;13
14-03-2017;16
15-03-2017;22
16-03-2017;21
17-03-2017;23
18-03-2017;19
19-03-2017;26
20-03-2017;23
21-03-2017;10
22-03-2017;10
23-03-2017;11
24-03-2017;13
25-03-2017;14
26-03-2017;11
27-03-2017;8
28-03-2017;13
29-03-2017;12
30-03-2017;15
31-03-2017;13
01-04-2017;9
02-04-2017;9
03-04-2017;16
04-04-2017;20
05-04-2017;12
06-04-2017;17
07-04-2017;18
08-04-2017;19
09-04-2017;34
10-04-2017;27
11-04-2017;17
12-04-2017;30
13-04-2017;32
14-04-2017;31
15-04-2017;18
16-04-2017;13
17-04-2017;16
18-04-2017;19
19-04-2017;15
20-04-2017;23
21-04-2017;28
22-04-2017;23
23-04-2017;18
24-04-2017;21
25-04-2017;13
26-04-2017;8
27-04-2017;9
28-04-2017;9
29-04-2017;9
30-04-2017;5
01-05-2017;6
02-05-2017;9
03-05-2017;8
04-05-2017;17
05-05-2017;16
06-05-2017;11
07-05-2017;13
08-05-2017;15
09-05-2017;20
10-05-2017;16
11-05-2017;11
12-05-2017;14
13-05-2017;12
14-05-2017;13
15-05-2017;12
16-05-2017;16
17-05-2017;16
18-05-2017;9
19-05-2017;11
20-05-2017;10
21-05-2017;13
22-05-2017;19
23-05-2017;19
24-05-2017;19
25-05-2017;19
26-05-2017;18
27-05-2017;23
28-05-2017;19
29-05-2017;14
30-05-2017;20
31-05-2017;18
01-06-2017;30
02-06-2017;15
03-06-2017;12
04-06-2017;11
05-06-2017;13
06-06-2017;10
07-06-2017;16
08-06-2017;16
09-06-2017;18
10-06-2017;19
11-06-2017;16
12-06-2017;10
13-06-2017;12
14-06-2017;20
15-06-2017;15
16-06-2017;12
17-06-2017;13
18-06-2017;18
19-06-2017;23
20-06-2017;32
21-06-2017;29
22-06-2017;21
23-06-2017;15
24-06-2017;9
25-06-2017;5
26-06-2017;3
27-06-2017;5
28-06-2017;3
29-06-2017;4
30-06-2017;4
01-07-2017;4
02-07-2017;7
03-07-2017;10
04-07-2017;13
05-07-2017;12
06-07-2017;18
07-07-2017;22
08-07-2017;8
09-07-2017;8
10-07-2017;4
11-07-2017;8
12-07-2017;13
13-07-2017;10
14-07-2017;4
15-07-2017;4
16-07-2017;7
17-07-2017;14
18-07-2017;20
19-07-2017;13
20-07-2017;4
21-07-2017;9
22-07-2017;6
23-07-2017;4
24-07-2017;3
25-07-2017;7
26-07-2017;10
27-07-2017;6
28-07-2017;10
29-07-2017;8
30-07-2017;7
31-07-2017;4
01-08-2017;4
02-08-2017;7
03-08-2017;10
04-08-2017;12
05-08-2017;5
06-08-2017;4
07-08-2017;3
08-08-2017;3
09-08-2017;3
10-08-2017;5
11-08-2017;5
12-08-2017;4
13-08-2017;7
14-08-2017;11
15-08-2017;6
16-08-2017;7
17-08-2017;9
18-08-2017;6
19-08-2017;3
20-08-2017;4
21-08-2017;10
22-08-2017;10
23-08-2017;7
24-08-2017;6
25-08-2017;10
26-08-2017;13
27-08-2017;8
28-08-2017;13
29-08-2017;14
30-08-2017;6
31-08-2017;5
01-09-2017;7
02-09-2017;8
03-09-2017;9
04-09-2017;7
05-09-2017;11
06-09-2017;6
07-09-2017;8
08-09-2017;5
09-09-2017;4
10-09-2017;4
11-09-2017;5
12-09-2017;5
13-09-2017;5
14-09-2017;4
15-09-2017;3
16-09-2017;3
17-09-2017;3
18-09-2017;5
19-09-2017;5
20-09-2017;11
21-09-2017;7
22-09-2017;4
23-09-2017;8
24-09-2017;11
25-09-2017;5
26-09-2017;7
27-09-2017;6
28-09-2017;7
29-09-2017;9
30-09-2017;3
01-10-2017;5
02-10-2017;8
03-10-2017;6
04-10-2017;6
05-10-2017;5
06-10-2017;6
07-10-2017;8
08-10-2017;10
09-10-2017;11
10-10-2017;11
11-10-2017;8
12-10-2017;16
13-10-2017;23
14-10-2017;24
15-10-2017;20
16-10-2017;26
17-10-2017;22
18-10-2017;13
19-10-2017;5
20-10-2017;7
21-10-2017;4
22-10-2017;6
23-10-2017;10
24-10-2017;8
25-10-2017;9
26-10-2017;8
27-10-2017;13
28-10-2017;10
29-10-2017;8
30-10-2017;3
31-10-2017;6
01-11-2017;7
02-11-2017;11
03-11-2017;5
04-11-2017;6
05-11-2017;4
06-11-2017;6
07-11-2017;6
08-11-2017;5
09-11-2017;4
10-11-2017;3
11-11-2017;4
12-11-2017;3
13-11-2017;3
14-11-2017;8
15-11-2017;11
16-11-2017;10
17-11-2017;16
18-11-2017;9
19-11-2017;11
20-11-2017;11
21-11-2017;8
22-11-2017;7
23-11-2017;15
24-11-2017;10
25-11-2017;4
26-11-2017;6
27-11-2017;7
28-11-2017;6
29-11-2017;4
30-11-2017;4
01-12-2017;5
02-12-2017;6
03-12-2017;7
04-12-2017;5
05-12-2017;8
06-12-2017;15
07-12-2017;6
08-12-2017;3
09-12-2017;2
10-12-2017;1
11-12-2017;4
12-12-2017;5
13-12-2017;6
14-12-2017;2
15-12-2017;4
16-12-2017;7
17-12-2017;8
18-12-2017;8
19-12-2017;4
20-12-2017;12
21-12-2017;14
22-12-2017;15
23-12-2017;14
24-12-2017;11
25-12-2017;8
26-12-2017;2
27-12-2017;4
28-12-2017;5
29-12-2017;3
30-12-2017;6
31-12-2017;3
01-01-2018;6
02-01-2018;3
03-01-2018;3
04-01-2018;3
05-01-2018;3
06-01-2018;3
07-01-2018;4
08-01-2018;5
09-01-2018;4
10-01-2018;4
11-01-2018;6
12-01-2018;8
13-01-2018;6
14-01-2018;7
15-01-2018;7
16-01-2018;4
17-01-2018;6
18-01-2018;13
19-01-2018;5
20-01-2018;5
21-01-2018;2
22-01-2018;7
23-01-2018;6
24-01-2018;9
25-01-2018;3
26-01-2018;6
27-01-2018;7
28-01-2018;10
29-01-2018;15
30-01-2018;18
31-01-2018;16
01-02-2018;5
02-02-2018;7
03-02-2018;3
04-02-2018;5
05-02-2018;5
06-02-2018;9
07-02-2018;8
08-02-2018;9
09-02-2018;4
10-02-2018;5
11-02-2018;1
12-02-2018;4
13-02-2018;4
14-02-2018;2
15-02-2018;5
16-02-2018;8
17-02-2018;3
18-02-2018;5
19-02-2018;3
20-02-2018;3
21-02-2018;2
22-02-2018;9
23-02-2018;14
24-02-2018;17
25-02-2018;20
26-02-2018;12
27-02-2018;10
28-02-2018;15
01-03-2018;15
02-03-2018;12
03-03-2018;12
04-03-2018;13
05-03-2018;13
06-03-2018;13
07-03-2018;13
08-03-2018;13
09-03-2018;12
10-03-2018;12
11-03-2018;12
12-03-2018;12
13-03-2018;12
14-03-2018;8
15-03-2018;9
16-03-2018;9
17-03-2018;5
18-03-2018;5
19-03-2018;6
20-03-2018;17
21-03-2018;12
22-03-2018;13
23-03-2018;8
24-03-2018;5
25-03-2018;6
26-03-2018;10
27-03-2018;8
28-03-2018;9
29-03-2018;6
30-03-2018;4
31-03-2018;7
01-04-2018;13
02-04-2018;11
03-04-2018;7
04-04-2018;9
05-04-2018;11
06-04-2018;15
07-04-2018;7
08-04-2018;7
09-04-2018;6
10-04-2018;7
11-04-2018;6
12-04-2018;9
13-04-2018;13
14-04-2018;14
15-04-2018;11
16-04-2018;10
17-04-2018;16
18-04-2018;20
19-04-2018;17
20-04-2018;28
21-04-2018;28
22-04-2018;26
23-04-2018;11
24-04-2018;14
25-04-2018;9
26-04-2018;6
27-04-2018;7
28-04-2018;7
29-04-2018;8
30-04-2018;7
01-05-2018;8
02-05-2018;10
03-05-2018;7
04-05-2018;9
05-05-2018;11
06-05-2018;15
07-05-2018;27
08-05-2018;20
09-05-2018;11
10-05-2018;9
11-05-2018;13
12-05-2018;5
13-05-2018;6
14-05-2018;5
15-05-2018;9
16-05-2018;6
17-05-2018;8
18-05-2018;14
19-05-2018;15
20-05-2018;14
21-05-2018;15
22-05-2018;17
23-05-2018;18
24-05-2018;21
25-05-2018;12
26-05-2018;8
27-05-2018;11
28-05-2018;10
29-05-2018;10
30-05-2018;12
31-05-2018;10
01-06-2018;7
02-06-2018;12
03-06-2018;9
04-06-2018;5
05-06-2018;7
06-06-2018;7
07-06-2018;9
08-06-2018;5
09-06-2018;7
10-06-2018;8
11-06-2018;7
12-06-2018;7
13-06-2018;9
14-06-2018;13
15-06-2018;9
16-06-2018;8
17-06-2018;10
18-06-2018;10
19-06-2018;5
20-06-2018;21
21-06-2018;18
22-06-2018;7
23-06-2018;16
24-06-2018;25
25-06-2018;17
26-06-2018;13
27-06-2018;8
28-06-2018;10
29-06-2018;12
30-06-2018;13
01-07-2018;10
02-07-2018;8
03-07-2018;7
04-07-2018;10
05-07-2018;9
06-07-2018;10
07-07-2018;8
08-07-2018;12
09-07-2018;14
10-07-2018;13
11-07-2018;15
12-07-2018;11
13-07-2018;13
14-07-2018;12
15-07-2018;13
16-07-2018;10
17-07-2018;6
18-07-2018;8
19-07-2018;7
20-07-2018;10
21-07-2018;8
22-07-2018;6
23-07-2018;12
24-07-2018;14
25-07-2018;9
26-07-2018;13
27-07-2018;12
28-07-2018;10
29-07-2018;15
30-07-2018;14
31-07-2018;8
01-08-2018;6
02-08-2018;12
03-08-2018;18
04-08-2018;31
05-08-2018;17
06-08-2018;21
07-08-2018;8
08-08-2018;8
09-08-2018;6
10-08-2018;9
11-08-2018;12
12-08-2018;11
13-08-2018;5
14-08-2018;6
15-08-2018;6
16-08-2018;9
17-08-2018;5
18-08-2018;7
19-08-2018;9
20-08-2018;10
21-08-2018;13
22-08-2018;13
23-08-2018;11
24-08-2018;8
25-08-2018;8
26-08-2018;13
27-08-2018;14
28-08-2018;16
29-08-2018;12
30-08-2018;10
31-08-2018;12
01-09-2018;11
02-09-2018;14
03-09-2018;10
04-09-2018;11
05-09-2018;12
06-09-2018;11
07-09-2018;9
08-09-2018;12
09-09-2018;13
10-09-2018;12
11-09-2018;19
12-09-2018;20
13-09-2018;16
14-09-2018;9
15-09-2018;10
16-09-2018;17
17-09-2018;21
18-09-2018;17
19-09-2018;15
20-09-2018;20
21-09-2018;14
22-09-2018;12
23-09-2018;11
24-09-2018;4
25-09-2018;10
26-09-2018;20
27-09-2018;19
28-09-2018;21
29-09-2018;14
30-09-2018;14
01-10-2018;8
02-10-2018;11
03-10-2018;15
04-10-2018;23
05-10-2018;18
06-10-2018;15
07-10-2018;7
08-10-2018;11
09-10-2018;18
10-10-2018;18
11-10-2018;15
12-10-2018;9
13-10-2018;8
14-10-2018;5
15-10-2018;10
16-10-2018;14
17-10-2018;17
18-10-2018;12
19-10-2018;19
20-10-2018;18
21-10-2018;21
22-10-2018;15
23-10-2018;13
24-10-2018;16
25-10-2018;21
26-10-2018;18
27-10-2018;4
28-10-2018;7
29-10-2018;9
30-10-2018;16
31-10-2018;12
01-11-2018;10
02-11-2018;7
03-11-2018;12
04-11-2018;13
05-11-2018;7
06-11-2018;9
07-11-2018;12
08-11-2018;17
09-11-2018;8
10-11-2018;14
11-11-2018;15
12-11-2018;17
13-11-2018;21
14-11-2018;29
15-11-2018;36
16-11-2018;35
17-11-2018;29
18-11-2018;22
19-11-2018;14
20-11-2018;13
21-11-2018;22
22-11-2018;16
23-11-2018;19
24-11-2018;15
25-11-2018;9
26-11-2018;14
27-11-2018;26
28-11-2018;38
29-11-2018;30
30-11-2018;22
01-12-2018;29
02-12-2018;26
03-12-2018;22
04-12-2018;17
05-12-2018;19
06-12-2018;21
07-12-2018;17
08-12-2018;20
09-12-2018;17
10-12-2018;26
11-12-2018;42
12-12-2018;26
13-12-2018;9
14-12-2018;15
15-12-2018;14
16-12-2018;7
17-12-2018;22
18-12-2018;14
19-12-2018;14
20-12-2018;28
21-12-2018;45
22-12-2018;29
23-12-2018;27
24-12-2018;36
25-12-2018;37
26-12-2018;47
27-12-2018;35
28-12-2018;35
29-12-2018;27
30-12-2018;30
31-12-2018;38.125
01-01-2019;32.976
02-01-2019;16.64
03-01-2019;25.527
04-01-2019;41.47
05-01-2019;52.043
06-01-2019;40.126
07-01-2019;41.946
08-01-2019;34.363
