date;value
01-01-2017;16
02-01-2017;11
03-01-2017;8
04-01-2017;18
05-01-2017;9
06-01-2017;8
07-01-2017;13
08-01-2017;19
09-01-2017;25
10-01-2017;13
11-01-2017;8
12-01-2017;6
13-01-2017;5
14-01-2017;6
15-01-2017;9
16-01-2017;6
17-01-2017;27
18-01-2017;33
19-01-2017;23
20-01-2017;49
21-01-2017;68
22-01-2017;44
23-01-2017;30
24-01-2017;29
25-01-2017;4
26-01-2017;4
27-01-2017;12
28-01-2017;5
29-01-2017;5
30-01-2017;8
31-01-2017;4
01-02-2017;10
02-02-2017;5
03-02-2017;3
04-02-2017;3
05-02-2017;3
06-02-2017;5
07-02-2017;4
08-02-2017;5
09-02-2017;5
10-02-2017;4
11-02-2017;6
12-02-2017;5
13-02-2017;6
14-02-2017;6
15-02-2017;9
16-02-2017;10
17-02-2017;12
18-02-2017;12
19-02-2017;4
20-02-2017;43
21-02-2017;10
22-02-2017;6
23-02-2017;6
24-02-2017;4
25-02-2017;11
26-02-2017;11
27-02-2017;8
28-02-2017;3
01-03-2017;10
02-03-2017;11
03-03-2017;7
04-03-2017;12
05-03-2017;8
06-03-2017;3
07-03-2017;5
08-03-2017;10
09-03-2017;12
10-03-2017;22
11-03-2017;11
12-03-2017;3
13-03-2017;4
14-03-2017;6
15-03-2017;11
16-03-2017;16
17-03-2017;6
18-03-2017;7
19-03-2017;12
20-03-2017;9
21-03-2017;5
22-03-2017;4
23-03-2017;4
24-03-2017;4
25-03-2017;9
26-03-2017;3
27-03-2017;5
28-03-2017;10
29-03-2017;9
30-03-2017;7
31-03-2017;4
01-04-2017;2
02-04-2017;2
03-04-2017;18
04-04-2017;16
05-04-2017;2
06-04-2017;3
07-04-2017;4
08-04-2017;10
09-04-2017;24
10-04-2017;6
11-04-2017;2
12-04-2017;5
13-04-2017;11
14-04-2017;4
15-04-2017;2
16-04-2017;2
17-04-2017;2
18-04-2017;2
19-04-2017;2
20-04-2017;6
21-04-2017;6
22-04-2017;15
23-04-2017;7
24-04-2017;5
25-04-2017;3
26-04-2017;2
27-04-2017;3
28-04-2017;2
29-04-2017;9
30-04-2017;14
01-05-2017;5
02-05-2017;5
03-05-2017;3
04-05-2017;3
05-05-2017;3
06-05-2017;3
07-05-2017;2
08-05-2017;2
09-05-2017;2
10-05-2017;4
11-05-2017;6
12-05-2017;4
13-05-2017;4
14-05-2017;7
15-05-2017;6
16-05-2017;7
17-05-2017;5
18-05-2017;6
19-05-2017;6
20-05-2017;7
21-05-2017;15
22-05-2017;9
23-05-2017;5
24-05-2017;15
25-05-2017;9
26-05-2017;17
27-05-2017;15
28-05-2017;15
29-05-2017;15
30-05-2017;13
31-05-2017;7
01-06-2017;8
02-06-2017;2
03-06-2017;3
04-06-2017;3
05-06-2017;21
06-06-2017;2
07-06-2017;16
08-06-2017;16
09-06-2017;9
10-06-2017;9
11-06-2017;9
12-06-2017;2
13-06-2017;2
14-06-2017;3
15-06-2017;5
16-06-2017;5
17-06-2017;6
18-06-2017;8
19-06-2017;9
20-06-2017;14
21-06-2017;10
22-06-2017;6
23-06-2017;7
24-06-2017;6
25-06-2017;6
26-06-2017;9
27-06-2017;8
28-06-2017;6
29-06-2017;6
30-06-2017;5
01-07-2017;8
02-07-2017;13
03-07-2017;13
04-07-2017;18
05-07-2017;8
06-07-2017;16
07-07-2017;14
08-07-2017;4
09-07-2017;4
