date;value
01-01-2017;8.43
02-01-2017;15.44
03-01-2017;10.59
04-01-2017;21.47
05-01-2017;15.59
06-01-2017;6.01
07-01-2017;7.66
08-01-2017;9.4
09-01-2017;19.67
10-01-2017;5.25
11-01-2017;4.37
12-01-2017;1.83
13-01-2017;1.54
14-01-2017;1.23
15-01-2017;1.77
16-01-2017;1.61
17-01-2017;1.36
18-01-2017;3.03
19-01-2017;3.17
20-01-2017;4.77
21-01-2017;4.71
22-01-2017;2.45
23-01-2017;4.63
24-01-2017;6.36
25-01-2017;7.46
26-01-2017;5.99
27-01-2017;5.73
28-01-2017;4.08
29-01-2017;6.78
30-01-2017;8.16
31-01-2017;3.34
01-02-2017;7.05
02-02-2017;1.55
03-02-2017;2.8
04-02-2017;2.14
05-02-2017;1.14
06-02-2017;7.54
07-02-2017;2.68
08-02-2017;2.6
09-02-2017;6.02
10-02-2017;6.08
11-02-2017;2.44
12-02-2017;3.96
13-02-2017;6.57
14-02-2017;13.78
15-02-2017;12.2
16-02-2017;6.36
17-02-2017;5.74
18-02-2017;4.82
19-02-2017;2.77
20-02-2017;4.3
21-02-2017;2.64
22-02-2017;2.37
23-02-2017;3.04
24-02-2017;1.65
25-02-2017;2.18
26-02-2017;1.1
27-02-2017;2.15
28-02-2017;1.85
01-03-2017;2.89
02-03-2017;3.05
03-03-2017;3.99
04-03-2017;0.91
05-03-2017;2.37
06-03-2017;0.87
07-03-2017;2.81
08-03-2017;3.29
09-03-2017;4.81
10-03-2017;6.75
11-03-2017;3.56
12-03-2017;0.58
13-03-2017;1.18
14-03-2017;1.15
15-03-2017;2.33
16-03-2017;2.67
17-03-2017;1.13
18-03-2017;0.74
19-03-2017;0.77
20-03-2017;2.18
21-03-2017;1.71
22-03-2017;1.21
23-03-2017;1.08
24-03-2017;1.49
25-03-2017;2.36
26-03-2017;1.8
27-03-2017;1.91
28-03-2017;5.16
29-03-2017;5.7
30-03-2017;6.3
31-03-2017;2.88
01-04-2017;0.45
02-04-2017;0.19
03-04-2017;2.45
04-04-2017;1.61
05-04-2017;0.47
06-04-2017;1.3
07-04-2017;1.81
08-04-2017;2.44
09-04-2017;1.4
10-04-2017;1.03
11-04-2017;0.72
12-04-2017;0.77
13-04-2017;0.57
14-04-2017;0.51
15-04-2017;0.3
16-04-2017;1.02
17-04-2017;0.4
18-04-2017;0.29
19-04-2017;0.51
20-04-2017;0.67
21-04-2017;2.22
22-04-2017;2.36
23-04-2017;0.76
24-04-2017;2.48
25-04-2017;0.63
26-04-2017;0.38
