timeStamps;magnitude;shape
('2017 1 2', '2017 1 8');-14.467348591640116;435.3668897976943
('2017 4 17', '2017 4 23');25.511662994006308;1871.9323569746803
('2017 6 5', '2017 6 11');31.743945817468777;3633.3736029193374
('2017 6 19', '2017 6 25');15.991614154719677;603.1922324838962
('2017 11 20', '2017 11 26');-19.176859012855935;812.2359292603599
('2017 12 4', '2017 12 10');-18.295259612153203;323.4034989820665
('2017 12 18', '2017 12 24');-19.6251671938318;125.586878723979
('2018 1 8', '2018 1 14');-52.553890934117824;4267.877724240638
('2018 1 22', '2018 1 28');-50.93358479346174;4386.522386444644
('2018 2 12', '2018 2 18');-33.63618296077469;3513.2050237925873
('2018 5 21', '2018 5 27');12.573637224514677;161.98962524700343
('2018 7 9', '2018 7 15');21.368675344421646;766.2544512740823
('2018 9 24', '2018 9 30');41.05247004342045;3533.2968077874875
('2019 7 8', '2019 7 14');16.42824165613296;206.80213025781444
('2019 8 19', '2019 8 25');14.934747321296081;314.3857147912473
('2020 3 23', '2020 3 29');14.341192935830248;235.0038657347262
('2020 3 30', '2020 4 5');40.95921900024365;2366.0795467468633
('2020 6 1', '2020 6 7');13.243627421613514;348.8442415729488
('2020 7 20', '2020 7 26');52.4680357388214;4300.671747196818
('2020 11 16', '2020 11 22');-15.48764706736851;353.37116706454765
('2020 11 23', '2020 11 29');-20.999286346119945;371.5307446247364
('2020 12 7', '2020 12 13');-6.5071142054844415;216.546925243352
('2021 1 25', '2021 1 31');-18.956440639084313;1062.9803341769675
('2021 4 5', '2021 4 11');9.16146605825081;241.38855718330703
('2021 8 16', '2021 8 22');20.09702683732356;341.3220255109178
('2021 8 23', '2021 8 29');19.238763356785327;799.8858123943894
('2021 11 15', '2021 11 21');-16.35517812598357;157.079651744784
('2021 12 13', '2021 12 19');-46.968422113947895;395.03509500963077
('2021 12 20', '2021 12 26');-33.20369494572556;1837.7635903158875
('2021 12 27', '2022 1 2');-11.257336126268292;187.64277757192392
