date;BEN;CO;MXIL;NO2;NO;O3;PM2_5;SO2;TOL
2017-01-01;;;;;2.2676364910199305;-2.0383834031521917;2.0008684447836367;;2.4908777634022488
2017-01-02;;;;;2.885053131560692;-2.2341064709294844;2.0008684447836367;;5.409509869801033
2017-01-03;;;;;2.527601392300251;;2.1343148078204117;;3.390199496614998
2017-01-04;;;2.6993836767081376;;4.737303053182977;-2.1036244257446226;2.534653896930736;;7.9201163750199575
2017-01-05;;;;;2.6250882302803715;;;;5.4719627679408065
2017-01-07;;;;;2.17014965303981;;;;2.1702862196180743
2017-01-08;;;;;2.3001321036799705;;;;2.894739838039456
2017-01-09;;;2.534559437974271;3.0441195933467617;4.769798665843017;;2.2677611708571863;3.0973136848819487;7.170681597342668
2017-01-13;;;;;;2.006559997578524;;;
2017-01-17;;;;;;;;3.465342389279491;
2017-01-18;;;;2.2695373563867136;2.885053131560692;;;4.5694285024721175;
2017-01-19;;;;2.114620908994704;;;;2.729284980484407;
2017-01-20;;;;2.501912027474728;3.8924171240219345;;;7.513658137652454;
2017-01-21;;;;2.2695373563867136;2.7225750682604914;;;11.009930829429104;
2017-01-22;;;;;;;;6.593586376658599;
2017-01-23;;;;;;;;4.017385445875804;
2017-01-24;;;;;;;;3.8333710936770333;
2017-01-25;;;;;;;;;2.087015688765042
2017-01-30;;;;;;;;;2.3784625467506553
2017-02-06;;;;2.114620908994704;;;;;2.120323901106255
2017-02-14;;;;;;;;;4.718364463720865
2017-02-15;2.922160294776517;;;;;;;;4.060527269981908
2017-02-17;;;;2.114620908994704;;;;;
2017-02-20;;;;;;;;6.409572024459828;
2017-03-10;;;;2.1920791326907088;;;;2.545270628285636;
2017-04-01;;;;;;2.006559997578524;;;
2017-04-02;;;;;;2.2675240879482472;;;
2017-04-09;;;;;;;2.8015466230042856;2.9132993326831778;
2017-04-12;;;;;;;2.2677611708571863;;
2017-04-13;;;;;;;2.534653896930736;;
2017-04-14;;;;;;;2.4012075338939614;;
2017-04-19;;;;;;2.137042042763386;;;
2017-04-21;;;;;;;2.0008684447836367;;
2017-05-25;;;;2.114620908994704;;;;;
2017-06-01;;;;;;;2.2677611708571863;;
2017-06-02;;;;;;2.071801020170955;;;
2017-06-05;;;;;;;;2.3612562760868645;
2017-06-06;;;;;;2.7242112460952637;;;
2017-06-20;;;;;;2.006559997578524;2.534653896930736;;
2017-06-21;;;;;;2.071801020170955;2.1343148078204117;;
2017-10-14;;2.0457330982404787;;;;;;;
2017-10-15;;;;2.2695373563867136;2.0076715897396094;;;;
2017-10-24;;;;2.5793702511707326;2.3326277163400104;;;;
2017-10-25;;;;2.4244538037787233;;;;;
2017-10-26;;;;2.037162685298699;;;;;
2017-11-01;;;;;;-2.1036244257446226;;;
2017-11-02;;;;;;-2.0383834031521917;;;
2017-11-15;;2.1917272639263774;;;2.982539969540812;-2.0383834031521917;;;
2017-11-16;;;;;3.177513645501053;;;;
2017-11-17;;;;;;;;2.9132993326831778;
2017-11-20;;2.82436864856527;;2.5793702511707326;4.152382025302256;-2.1688654483370535;;2.9132993326831778;
2017-11-21;;2.82436864856527;;3.0441195933467617;4.672311827862897;-2.1688654483370535;;2.729284980484407;
2017-11-22;;3.3596805894135637;;;;;;3.0973136848819487;
2017-11-23;;3.019027536146468;;2.1920791326907088;2.6900794556004515;;;;
2017-11-24;;;;2.114620908994704;;;;;
2017-12-05;;;;;2.6575838429404115;;;;
2017-12-07;;;;2.1920791326907088;2.0076715897396094;-2.1036244257446226;;;
2017-12-18;;;;;;;;3.28132803708072;
2017-12-21;;;;;3.0800268075209325;-2.1036244257446226;;;
2017-12-22;;;;;2.3001321036799705;;;;
