timeStamps;magnitude;shape
('2017 4 17', '2017 4 23');-17.55793860177902;330.8605396972494
('2017 4 24', '2017 4 30');-10.868085943493826;180.98727806171624
('2017 5 29', '2017 6 4');-7.8767710596766225;223.0311572666319
('2017 6 12', '2017 6 18');-9.244846185152689;188.0812511245104
('2017 6 26', '2017 7 2');-19.1438096844652;52.18411788083874
('2017 7 3', '2017 7 9');-14.3562642457252;333.13973543943007
('2017 11 20', '2017 11 26');32.74741812801203;943.6392371945095
('2018 4 23', '2018 4 29');-17.503736591394524;276.2310495778463
('2018 11 12', '2018 11 18');13.461995012688009;187.4162828204822
('2018 12 17', '2018 12 23');20.583597367560202;1948.875726539719
('2019 2 11', '2019 2 17');35.084781268937;724.284709471413
('2019 5 13', '2019 5 19');15.840384139724078;398.9793200970748
('2020 6 8', '2020 6 14');-43.37761716881208;1506.2947041528928
('2020 6 15', '2020 6 21');-63.11117032511067;2550.75380200724
('2020 6 22', '2020 6 28');-37.56630728154039;995.3449663377887
('2020 6 29', '2020 7 5');-14.953163525410636;142.71015668054133
('2020 7 6', '2020 7 12');-20.197045979139304;179.72481263692168
('2020 8 3', '2020 8 9');-37.94341123258636;3248.3738052969093
('2020 8 24', '2020 8 30');-18.976428591730258;391.46262583354263
('2020 8 31', '2020 9 6');-40.90480211565431;3255.5887648539406
('2020 9 14', '2020 9 20');-31.724289695752752;3635.7782147702414
('2020 9 21', '2020 9 27');18.522117798313616;122.11245354947275
('2020 10 12', '2020 10 18');45.91920778242514;2995.7963343200904
('2020 10 19', '2020 10 25');37.69918157187241;3317.9186953555027
('2021 1 11', '2021 1 17');62.06766025762656;3446.7209704816296
('2021 1 25', '2021 1 31');26.858129089607264;557.0122817307454
('2021 12 13', '2021 12 19');29.78193929505494;890.1914832667907
('2021 12 20', '2021 12 26');30.386642721945012;1770.5051228679451
('2022 1 31', '2022 2 6');12.04986987810382;134.27327830354903
('2022 2 7', '2022 2 13');11.690230062134406;72.54214534821655
