date;NO2;zscore_NO2
2017-01-01;43.0;0
2017-01-02;52.0;0
2017-01-03;44.0;0
2017-01-04;53.0;0
2017-01-05;45.0;0
2017-01-06;37.0;0
2017-01-07;44.0;0
2017-01-08;49.0;0
2017-01-09;67.0;1
2017-01-10;49.0;0
2017-01-11;42.0;0
2017-01-12;31.0;0
2017-01-13;40.0;0
2017-01-14;39.0;0
2017-01-15;39.0;0
2017-01-16;43.0;0
2017-01-17;41.0;0
2017-01-18;57.0;1
2017-01-19;55.0;1
2017-01-20;60.0;1
2017-01-21;57.0;1
2017-01-22;47.0;0
2017-01-23;48.0;0
2017-01-24;38.0;0
2017-01-25;41.0;0
2017-01-26;36.0;0
2017-01-27;38.0;0
2017-01-28;35.0;0
2017-01-29;35.0;0
2017-01-30;29.0;0
2017-01-31;32.0;0
2017-02-01;38.0;0
2017-02-02;20.0;0
2017-02-03;30.0;0
2017-02-04;28.0;0
2017-02-05;15.0;0
2017-02-06;55.0;1
2017-02-07;31.0;0
2017-02-08;39.0;0
2017-02-09;47.0;0
2017-02-10;43.0;0
2017-02-11;31.0;0
2017-02-12;30.0;0
2017-02-13;52.0;0
2017-02-14;50.0;0
2017-02-15;50.0;0
2017-02-16;52.0;0
2017-02-17;55.0;1
2017-02-18;49.0;0
2017-02-19;32.0;0
2017-02-20;45.0;0
2017-02-21;30.0;0
2017-02-22;27.0;0
2017-02-23;38.0;0
2017-02-24;31.0;0
2017-02-25;31.0;0
2017-02-26;24.0;0
2017-02-27;25.0;0
2017-02-28;27.0;0
2017-03-01;37.0;0
2017-03-02;38.0;0
2017-03-03;34.0;0
2017-03-04;23.0;0
2017-03-05;31.0;0
2017-03-06;14.0;0
2017-03-07;33.0;0
2017-03-08;30.0;0
2017-03-09;41.0;0
2017-03-10;56.0;1
2017-03-11;27.0;0
2017-03-12;13.0;0
2017-03-13;22.0;0
2017-03-14;23.0;0
2017-03-15;25.0;0
2017-03-16;33.0;0
2017-03-17;22.0;0
2017-03-18;13.0;0
2017-03-19;16.0;0
2017-03-20;25.0;0
2017-03-21;28.0;0
2017-03-22;22.0;0
2017-03-23;22.0;0
2017-03-24;29.0;0
2017-03-25;38.0;0
2017-03-26;22.0;0
2017-03-27;26.0;0
2017-03-28;41.0;0
2017-03-29;44.0;0
2017-03-30;40.0;0
2017-03-31;30.0;0
2017-04-01;9.0;0
2017-04-02;4.0;0
2017-04-03;33.0;0
2017-04-04;24.0;0
2017-04-05;14.0;0
2017-04-06;23.0;0
2017-04-07;27.0;0
2017-04-08;31.0;0
2017-04-09;31.0;0
2017-04-10;18.0;0
2017-04-11;13.0;0
2017-04-12;16.0;0
2017-04-13;17.0;0
2017-04-14;16.0;0
2017-04-15;11.0;0
2017-04-16;12.0;0
2017-04-17;9.0;0
2017-04-18;8.0;0
2017-04-19;13.0;0
2017-04-20;20.0;0
2017-04-21;32.0;0
2017-04-22;30.0;0
2017-04-23;16.0;0
2017-04-24;32.0;0
2017-04-25;21.0;0
2017-04-26;16.0;0
2017-04-27;18.0;0
2017-04-28;21.0;0
2017-04-29;20.0;0
2017-04-30;10.0;0
2017-05-01;19.0;0
2017-05-02;19.0;0
2017-05-03;13.0;0
2017-05-04;20.0;0
2017-05-05;37.0;0
2017-05-06;29.0;0
2017-05-07;24.0;0
2017-05-08;30.0;0
2017-05-09;29.0;0
2017-05-10;33.0;0
2017-05-11;38.0;0
2017-05-12;35.0;0
2017-05-13;29.0;0
2017-05-14;26.0;0
2017-05-15;32.0;0
2017-05-16;33.0;0
2017-05-17;30.0;0
2017-05-18;27.0;0
2017-05-19;28.0;0
2017-05-20;23.0;0
2017-05-21;38.0;0
2017-05-22;25.0;0
2017-05-23;15.0;0
2017-05-24;31.0;0
2017-05-25;55.0;1
2017-05-26;44.0;0
2017-05-27;28.0;0
2017-05-28;15.0;0
2017-05-29;27.0;0
2017-05-30;27.0;0
2017-05-31;24.0;0
2017-06-01;30.0;0
2017-06-02;20.0;0
2017-06-03;22.0;0
2017-06-04;22.0;0
2017-06-05;24.0;0
2017-06-06;8.0;0
2017-06-07;31.0;0
2017-06-08;20.0;0
2017-06-09;20.0;0
2017-06-10;10.0;0
2017-06-11;3.0;0
2017-06-12;5.0;0
2017-06-13;6.0;0
2017-06-14;8.0;0
2017-06-15;5.0;0
2017-06-16;4.0;0
2017-06-17;3.0;0
2017-06-18;6.0;0
2017-06-19;18.0;0
2017-06-20;16.0;0
2017-06-21;20.0;0
2017-06-22;17.0;0
2017-06-23;23.0;0
2017-06-24;14.0;0
2017-06-25;14.0;0
2017-06-26;20.0;0
2017-06-27;22.0;0
2017-06-28;18.0;0
2017-06-29;16.0;0
2017-06-30;17.0;0
2017-07-01;11.0;0
2017-07-02;13.0;0
2017-07-03;17.0;0
2017-07-04;31.0;0
2017-07-05;19.0;0
2017-07-06;23.0;0
2017-07-07;25.0;0
2017-07-08;12.0;0
2017-07-09;14.0;0
2017-07-10;14.0;0
2017-07-11;22.0;0
2017-07-12;22.0;0
2017-07-13;18.0;0
2017-07-14;14.0;0
2017-07-15;14.0;0
2017-07-16;13.0;0
2017-07-17;26.0;0
2017-07-18;22.0;0
2017-07-19;23.0;0
2017-07-20;18.0;0
2017-07-21;19.0;0
2017-07-22;17.0;0
2017-07-23;10.0;0
2017-07-24;9.0;0
2017-07-25;15.0;0
2017-07-26;21.0;0
2017-07-27;17.0;0
2017-07-28;26.0;0
2017-07-29;23.0;0
2017-07-30;10.0;0
2017-07-31;17.0;0
2017-08-01;18.0;0
2017-08-02;20.0;0
2017-08-03;24.0;0
2017-08-04;21.0;0
2017-08-05;12.0;0
2017-08-06;7.0;0
2017-08-07;17.0;0
2017-08-08;14.0;0
2017-08-09;17.0;0
2017-08-10;16.0;0
2017-08-11;19.0;0
2017-08-12;16.0;0
2017-08-13;13.0;0
2017-08-14;17.0;0
2017-08-15;10.0;0
2017-08-16;19.0;0
2017-08-17;23.0;0
2017-08-18;18.0;0
2017-08-19;8.0;0
2017-08-20;16.0;0
2017-08-21;42.0;0
2017-08-22;26.0;0
2017-08-23;19.0;0
2017-08-24;16.0;0
2017-08-25;26.0;0
2017-08-26;20.0;0
2017-08-27;25.0;0
2017-08-28;23.0;0
2017-08-29;19.0;0
2017-08-30;18.0;0
2017-08-31;19.0;0
2017-09-01;21.0;0
2017-09-02;19.0;0
2017-09-03;26.0;0
2017-09-04;17.0;0
2017-09-05;18.0;0
2017-09-06;14.0;0
2017-09-07;18.0;0
2017-09-08;9.0;0
2017-09-09;10.0;0
2017-09-10;14.0;0
2017-09-11;10.0;0
2017-09-12;18.0;0
2017-09-13;15.0;0
2017-09-14;14.0;0
2017-09-15;18.0;0
2017-09-16;16.0;0
2017-09-17;11.0;0
2017-09-18;14.0;0
2017-09-19;14.0;0
2017-09-20;14.0;0
2017-09-21;17.0;0
2017-09-22;13.0;0
2017-09-23;20.0;0
2017-09-24;15.0;0
2017-09-25;16.0;0
2017-09-26;25.0;0
2017-09-27;35.0;0
2017-09-28;35.0;0
2017-09-29;26.0;0
2017-09-30;24.0;0
2017-10-01;19.0;0
2017-10-02;27.0;0
2017-10-03;19.0;0
2017-10-04;18.0;0
2017-10-05;21.0;0
2017-10-06;19.0;0
2017-10-07;26.0;0
2017-10-08;26.0;0
2017-10-09;33.0;0
2017-10-10;39.0;0
2017-10-11;43.0;0
2017-10-12;33.0;0
2017-10-13;38.0;0
2017-10-14;46.0;0
2017-10-15;57.0;1
2017-10-16;36.0;0
2017-10-17;40.0;0
2017-10-18;38.0;0
2017-10-19;41.0;0
2017-10-20;38.0;0
2017-10-21;21.0;0
2017-10-22;23.0;0
2017-10-23;41.0;0
2017-10-24;61.0;1
2017-10-25;59.0;1
2017-10-26;54.0;1
2017-10-27;41.0;0
2017-10-28;22.0;0
2017-10-29;19.0;0
2017-10-30;24.0;0
2017-10-31;40.0;0
2017-11-01;48.0;0
2017-11-02;52.0;0
2017-11-03;42.0;0
2017-11-04;24.0;0
2017-11-05;23.0;0
2017-11-06;38.0;0
2017-11-07;33.0;0
2017-11-08;42.0;0
2017-11-09;43.0;0
2017-11-10;46.0;0
2017-11-11;32.0;0
2017-11-12;23.0;0
2017-11-13;41.0;0
2017-11-14;38.0;0
2017-11-15;46.0;0
2017-11-16;47.0;0
2017-11-17;40.0;0
2017-11-18;33.0;0
2017-11-19;33.0;0
2017-11-20;61.0;1
2017-11-21;67.0;1
2017-11-22;41.0;0
2017-11-23;56.0;1
2017-11-24;55.0;1
2017-11-25;37.0;0
2017-11-26;34.0;0
2017-11-27;44.0;0
2017-11-28;42.0;0
2017-11-29;42.0;0
2017-11-30;39.0;0
2017-12-01;35.0;0
2017-12-02;36.0;0
2017-12-03;35.0;0
2017-12-04;41.0;0
2017-12-05;45.0;0
2017-12-06;44.0;0
2017-12-07;56.0;1
2017-12-08;28.0;0
2017-12-09;33.0;0
2017-12-10;24.0;0
2017-12-11;31.0;0
2017-12-12;39.0;0
2017-12-13;36.0;0
2017-12-14;34.0;0
2017-12-15;33.0;0
2017-12-16;35.0;0
2017-12-17;33.0;0
2017-12-18;46.0;0
2017-12-19;40.0;0
2017-12-20;40.0;0
2017-12-21;46.0;0
2017-12-22;42.0;0
2017-12-23;36.0;0
2017-12-24;37.0;0
2017-12-25;27.0;0
2017-12-26;39.0;0
2017-12-27;32.0;0
2017-12-28;49.0;0
2017-12-29;54.0;1
2017-12-30;53.0;0
2017-12-31;24.0;0
2018-01-01;28.0;0
2018-01-02;24.0;0
2018-01-03;22.0;0
2018-01-04;46.0;0
2018-01-05;33.0;0
2018-01-06;29.0;0
2018-01-07;35.0;0
2018-01-08;54.0;1
2018-01-09;52.0;0
2018-01-10;53.0;0
2018-01-11;36.0;0
2018-01-12;57.0;1
2018-01-13;59.0;1
2018-01-14;46.0;0
2018-01-15;48.0;0
2018-01-16;35.0;0
2018-01-17;46.0;0
2018-01-18;59.0;1
2018-01-19;54.0;1
2018-01-20;55.0;1
2018-01-21;54.0;1
2018-01-22;50.0;0
2018-01-23;45.0;0
2018-01-24;48.0;0
2018-01-25;48.0;0
2018-01-26;42.0;0
2018-01-27;41.0;0
2018-01-28;42.0;0
2018-01-29;57.0;1
2018-01-30;47.0;0
2018-01-31;41.0;0
2018-02-01;38.0;0
2018-02-02;43.0;0
2018-02-03;33.0;0
2018-02-04;26.0;0
2018-02-05;32.0;0
2018-02-06;46.0;0
2018-02-07;47.0;0
2018-02-08;47.0;0
2018-02-09;52.0;0
2018-02-10;42.0;0
2018-02-11;33.0;0
2018-02-12;43.0;0
2018-02-13;47.0;0
2018-02-14;74.0;1
2018-02-15;63.0;1
2018-02-16;38.0;0
2018-02-17;36.0;0
2018-02-18;38.0;0
2018-02-19;41.0;0
2018-02-20;40.0;0
2018-02-21;33.0;0
2018-02-22;45.0;0
2018-02-23;44.0;0
2018-02-24;41.0;0
2018-02-25;39.0;0
2018-02-26;34.0;0
2018-02-27;26.0;0
2018-02-28;45.0;0
2018-03-01;47.0;0
2018-03-02;43.0;0
2018-03-03;44.0;0
2018-03-04;24.0;0
2018-03-05;58.0;1
2018-03-06;34.0;0
2018-03-07;40.0;0
2018-03-08;47.0;0
2018-03-09;28.0;0
2018-03-10;28.0;0
2018-03-11;12.0;0
2018-03-12;24.0;0
2018-03-13;43.0;0
2018-03-14;38.0;0
2018-03-15;37.0;0
2018-03-16;39.0;0
2018-03-17;27.0;0
2018-03-18;21.0;0
2018-03-19;26.0;0
2018-03-20;35.0;0
2018-03-21;38.0;0
2018-03-22;49.0;0
2018-03-23;41.0;0
2018-03-24;17.0;0
2018-03-25;28.0;0
2018-03-26;46.0;0
2018-03-27;25.0;0
2018-03-28;27.0;0
2018-03-29;27.0;0
2018-03-30;18.0;0
2018-03-31;22.0;0
2018-04-01;36.0;0
2018-04-02;41.0;0
2018-04-03;27.0;0
2018-04-04;34.0;0
2018-04-05;36.0;0
2018-04-06;38.0;0
2018-04-07;22.0;0
2018-04-08;26.0;0
2018-04-09;33.0;0
2018-04-10;25.0;0
2018-04-11;26.0;0
2018-04-12;34.0;0
2018-04-13;39.0;0
2018-04-14;25.0;0
2018-04-15;16.0;0
2018-04-16;26.0;0
2018-04-17;29.0;0
2018-04-18;36.0;0
2018-04-19;25.0;0
2018-04-20;21.0;0
2018-04-21;33.0;0
2018-04-22;20.0;0
2018-04-23;17.0;0
2018-04-24;17.0;0
2018-04-25;18.0;0
2018-04-26;18.0;0
2018-04-27;16.0;0
2018-04-28;18.0;0
2018-04-29;17.0;0
2018-04-30;27.0;0
2018-05-01;14.0;0
2018-05-02;25.0;0
2018-05-03;25.0;0
2018-05-04;20.0;0
2018-05-05;18.0;0
2018-05-06;20.0;0
2018-05-07;29.0;0
2018-05-08;20.0;0
2018-05-09;23.0;0
2018-05-10;22.0;0
2018-05-11;29.0;0
2018-05-12;18.0;0
2018-05-13;20.0;0
2018-05-14;23.0;0
2018-05-15;22.0;0
2018-05-16;19.0;0
2018-05-17;19.0;0
2018-05-18;21.0;0
2018-05-19;14.0;0
2018-05-20;14.0;0
2018-05-21;32.0;0
2018-05-22;25.0;0
2018-05-23;26.0;0
2018-05-24;26.0;0
2018-05-25;26.0;0
2018-05-26;20.0;0
2018-05-27;17.0;0
2018-05-28;28.0;0
2018-05-29;27.0;0
2018-05-30;27.0;0
2018-05-31;21.0;0
2018-06-01;29.0;0
2018-06-02;23.0;0
2018-06-03;21.0;0
2018-06-04;24.0;0
2018-06-05;29.0;0
2018-06-06;21.0;0
2018-06-07;19.0;0
2018-06-08;30.0;0
2018-06-09;19.0;0
2018-06-10;19.0;0
2018-06-11;19.0;0
2018-06-12;18.0;0
2018-06-13;19.0;0
2018-06-14;22.0;0
2018-06-15;27.0;0
2018-06-16;13.0;0
2018-06-17;16.0;0
2018-06-18;20.0;0
2018-06-19;12.0;0
2018-06-20;24.0;0
2018-06-21;23.0;0
2018-06-22;15.0;0
2018-06-23;14.0;0
2018-06-24;22.0;0
2018-06-25;26.0;0
2018-06-26;23.0;0
2018-06-27;17.0;0
2018-06-28;21.0;0
2018-06-29;20.0;0
2018-06-30;17.0;0
2018-07-01;23.0;0
2018-07-02;25.0;0
2018-07-03;19.0;0
2018-07-04;27.0;0
2018-07-05;17.0;0
2018-07-06;20.0;0
2018-07-07;14.0;0
2018-07-08;16.0;0
2018-07-09;20.0;0
2018-07-10;17.0;0
2018-07-11;34.0;0
2018-07-12;20.0;0
2018-07-13;23.0;0
2018-07-14;19.0;0
2018-07-15;13.0;0
2018-07-16;14.0;0
2018-07-17;20.0;0
2018-07-18;16.0;0
2018-07-19;19.0;0
2018-07-20;31.0;0
2018-07-21;19.0;0
2018-07-22;12.0;0
2018-07-23;19.0;0
2018-07-24;26.0;0
2018-07-25;17.0;0
2018-07-26;21.0;0
2018-07-27;26.0;0
2018-07-28;18.0;0
2018-07-29;17.0;0
2018-07-30;20.0;0
2018-07-31;16.0;0
2018-08-01;15.0;0
2018-08-02;22.0;0
2018-08-03;34.0;0
2018-08-04;23.0;0
2018-08-05;20.0;0
2018-08-06;23.0;0
2018-08-07;12.0;0
2018-08-08;14.0;0
2018-08-09;19.0;0
2018-08-10;21.0;0
2018-08-11;23.0;0
2018-08-12;14.0;0
2018-08-13;11.0;0
2018-08-14;12.0;0
2018-08-15;9.0;0
2018-08-16;14.0;0
2018-08-17;14.0;0
2018-08-18;13.0;0
2018-08-19;13.0;0
2018-08-20;16.0;0
2018-08-21;16.0;0
2018-08-22;18.0;0
2018-08-23;16.0;0
2018-08-24;19.0;0
2018-08-25;12.0;0
2018-08-26;26.0;0
2018-08-27;23.0;0
2018-08-28;23.0;0
2018-08-29;18.0;0
2018-08-30;24.0;0
2018-08-31;21.0;0
2018-09-01;17.0;0
2018-09-02;20.0;0
2018-09-03;25.0;0
2018-09-04;26.0;0
2018-09-05;33.0;0
2018-09-06;33.0;0
2018-09-07;26.0;0
2018-09-08;25.0;0
2018-09-09;18.0;0
2018-09-10;22.0;0
2018-09-11;35.0;0
2018-09-12;36.0;0
2018-09-13;25.0;0
2018-09-14;19.0;0
2018-09-15;24.0;0
2018-09-16;23.0;0
2018-09-17;39.0;0
2018-09-18;32.0;0
2018-09-19;34.0;0
2018-09-20;34.0;0
2018-09-21;25.0;0
2018-09-22;22.0;0
2018-09-23;16.0;0
2018-09-24;13.0;0
2018-09-25;26.0;0
2018-09-26;40.0;0
2018-09-27;39.0;0
2018-09-28;26.0;0
2018-09-29;16.0;0
2018-09-30;16.0;0
2018-10-01;25.0;0
2018-10-02;31.0;0
2018-10-03;36.0;0
2018-10-04;49.0;0
2018-10-05;43.0;0
2018-10-06;26.0;0
2018-10-07;22.0;0
2018-10-08;30.0;0
2018-10-09;33.0;0
2018-10-10;55.0;1
2018-10-11;43.0;0
2018-10-12;17.0;0
2018-10-13;24.0;0
2018-10-14;19.0;0
2018-10-15;32.0;0
2018-10-16;31.0;0
2018-10-17;30.0;0
2018-10-18;35.0;0
2018-10-19;36.0;0
2018-10-20;26.0;0
2018-10-21;20.0;0
2018-10-22;25.0;0
2018-10-23;30.0;0
2018-10-24;34.0;0
2018-10-25;34.0;0
2018-10-26;30.0;0
2018-10-27;23.0;0
2018-10-28;23.0;0
2018-10-29;40.0;0
2018-10-30;44.0;0
2018-10-31;38.0;0
2018-11-01;34.0;0
2018-11-02;31.0;0
2018-11-03;25.0;0
2018-11-04;26.0;0
2018-11-05;33.0;0
2018-11-06;33.0;0
2018-11-07;38.0;0
2018-11-08;41.0;0
2018-11-09;33.0;0
2018-11-10;38.0;0
2018-11-11;39.0;0
2018-11-12;40.0;0
2018-11-13;35.0;0
2018-11-14;46.0;0
2018-11-15;51.0;0
2018-11-16;53.0;0
2018-11-17;42.0;0
2018-11-18;27.0;0
2018-11-19;27.0;0
2018-11-20;29.0;0
2018-11-21;41.0;0
2018-11-22;42.0;0
2018-11-23;52.0;0
2018-11-24;37.0;0
2018-11-25;34.0;0
2018-11-26;46.0;0
2018-11-27;53.0;0
2018-11-28;58.0;1
2018-11-29;55.0;1
2018-11-30;59.0;1
2018-12-01;54.0;1
2018-12-02;54.0;1
2018-12-03;52.0;0
2018-12-04;32.0;0
2018-12-05;42.0;0
2018-12-06;36.0;0
2018-12-07;45.0;0
2018-12-08;50.0;0
2018-12-09;37.0;0
2018-12-10;50.0;0
2018-12-11;62.0;1
2018-12-12;52.0;0
2018-12-13;39.0;0
2018-12-14;55.0;1
2018-12-15;41.0;0
2018-12-16;32.0;0
2018-12-17;64.0;1
2018-12-18;38.0;0
2018-12-19;52.0;0
2018-12-20;76.0;1
2018-12-21;96.0;1
2018-12-22;55.0;1
2018-12-23;42.0;0
2018-12-24;50.0;0
2018-12-25;35.0;0
2018-12-26;64.0;1
2018-12-27;58.0;1
2018-12-28;56.0;1
2018-12-29;40.0;0
2018-12-30;32.0;0
2018-12-31;41.54;0
2019-01-01;28.0;0
2019-01-02;32.71;0
2019-01-03;50.23;0
2019-01-04;61.29;1
2019-01-05;58.04;1
2019-01-06;47.5;0
2019-01-07;45.5;0
2019-01-08;54.17;1
2019-01-09;57.12;1
2019-01-10;47.42;0
2019-01-11;63.38;1
2019-01-12;49.88;0
2019-01-13;43.08;0
2019-01-14;45.71;0
2019-01-15;51.08;0
2019-01-16;45.25;0
2019-01-17;49.24;0
2019-01-18;54.38;1
2019-01-19;48.54;0
2019-01-20;26.75;0
2019-01-21;50.71;0
2019-01-22;47.65;0
2019-01-23;27.46;0
2019-01-24;31.0;0
2019-01-25;45.83;0
2019-01-26;37.88;0
2019-01-27;22.96;0
2019-01-28;36.33;0
2019-01-29;36.25;0
2019-01-30;59.0;1
2019-01-31;45.71;0
2019-02-01;34.04;0
2019-02-02;35.46;0
2019-02-03;40.58;0
2019-02-04;71.04;1
2019-02-05;51.58;0
2019-02-06;47.33;0
2019-02-07;46.08;0
2019-02-08;59.58;1
2019-02-09;48.38;0
2019-02-10;25.83;0
2019-02-11;42.88;0
2019-02-12;49.14;0
2019-02-13;56.12;1
2019-02-14;64.62;1
2019-02-15;73.62;1
2019-02-16;64.5;1
2019-02-17;49.38;0
2019-02-18;46.25;0
2019-02-19;45.92;0
2019-02-20;49.92;0
2019-02-21;61.65;1
2019-02-22;69.54;1
2019-02-23;53.5;0
2019-02-24;47.75;0
2019-02-25;63.0;1
2019-02-26;64.5;1
2019-02-27;63.08;1
2019-02-28;54.61;1
2019-03-01;44.46;0
2019-03-02;43.54;0
2019-03-03;27.96;0
2019-03-04;23.71;0
2019-03-05;32.75;0
2019-03-06;24.83;0
2019-03-07;39.33;0
2019-03-08;37.92;0
2019-03-09;29.83;0
2019-03-10;17.46;0
2019-03-11;31.21;0
2019-03-12;31.18;0
2019-03-13;27.67;0
2019-03-14;23.96;0
2019-03-15;40.33;0
2019-03-16;28.04;0
2019-03-17;19.54;0
2019-03-18;28.96;0
2019-03-19;43.25;0
2019-03-20;33.12;0
2019-03-21;37.96;0
2019-03-22;50.54;0
2019-03-23;43.38;0
2019-03-24;27.58;0
2019-03-25;22.25;0
2019-03-26;24.22;0
2019-03-27;29.62;0
2019-03-28;33.5;0
2019-03-29;34.92;0
2019-03-30;43.96;0
2019-03-31;33.88;0
2019-04-01;42.75;0
2019-04-02;32.25;0
2019-04-03;24.88;0
2019-04-04;41.25;0
2019-04-05;35.46;0
2019-04-06;30.54;0
2019-04-07;23.12;0
2019-04-08;33.92;0
2019-04-09;30.08;0
2019-04-10;28.0;0
2019-04-11;39.17;0
2019-04-12;39.29;0
2019-04-13;41.46;0
2019-04-14;27.83;0
2019-04-15;25.42;0
2019-04-16;30.83;0
2019-04-17;31.67;0
2019-04-18;19.17;0
2019-04-19;22.42;0
2019-04-20;34.62;0
2019-04-21;23.29;0
2019-04-22;31.5;0
2019-04-23;26.91;0
2019-04-24;24.33;0
2019-04-25;27.25;0
2019-04-26;22.12;0
2019-04-27;18.75;0
2019-04-28;12.42;0
2019-04-29;29.33;0
2019-04-30;29.08;0
2019-05-01;17.75;0
2019-05-02;22.71;0
2019-05-03;26.92;0
2019-05-04;19.75;0
2019-05-05;10.58;0
2019-05-06;27.42;0
2019-05-07;41.0;0
