date;NO;fda_NO
2017-01-01;93.0;0
2017-01-02;112.0;1
2017-01-03;101.0;1
2017-01-04;169.0;1
2017-01-05;104.0;1
2017-01-06;57.0;1
2017-01-07;90.0;1
2017-01-08;94.0;1
2017-01-09;170.0;0
2017-01-10;29.0;0
2017-01-11;37.0;0
2017-01-12;22.0;0
2017-01-13;12.0;0
2017-01-14;9.0;0
2017-01-15;8.0;0
2017-01-16;17.0;1
2017-01-17;32.0;1
2017-01-18;112.0;1
2017-01-19;72.0;1
2017-01-20;143.0;1
2017-01-21;107.0;1
2017-01-22;82.0;1
2017-01-23;83.0;0
2017-01-24;58.0;0
2017-01-25;67.0;0
2017-01-26;59.0;0
2017-01-27;50.0;0
2017-01-28;30.0;0
2017-01-29;36.0;0
2017-01-30;73.0;0
2017-01-31;23.0;0
2017-02-01;55.0;0
2017-02-02;10.0;0
2017-02-03;18.0;0
2017-02-04;16.0;0
2017-02-05;7.0;0
2017-02-06;76.0;0
2017-02-07;23.0;0
2017-02-08;24.0;0
2017-02-09;44.0;0
2017-02-10;21.0;0
2017-02-11;16.0;0
2017-02-12;23.0;0
2017-02-13;62.0;0
2017-02-14;68.0;0
2017-02-15;64.0;0
2017-02-16;63.0;0
2017-02-17;72.0;0
2017-02-18;37.0;0
2017-02-19;22.0;0
2017-02-20;45.0;0
2017-02-21;25.0;0
2017-02-22;11.0;0
2017-02-23;24.0;0
2017-02-24;14.0;0
2017-02-25;23.0;0
2017-02-26;9.0;0
2017-02-27;20.0;0
2017-02-28;17.0;0
2017-03-01;31.0;0
2017-03-02;24.0;0
2017-03-03;26.0;0
2017-03-04;12.0;0
2017-03-05;15.0;0
2017-03-06;5.0;0
2017-03-07;28.0;0
2017-03-08;26.0;0
2017-03-09;44.0;0
2017-03-10;71.0;0
2017-03-11;21.0;0
2017-03-12;4.0;0
2017-03-13;12.0;0
2017-03-14;12.0;0
2017-03-15;20.0;0
2017-03-16;24.0;0
2017-03-17;6.0;0
2017-03-18;3.0;0
2017-03-19;3.0;0
2017-03-20;9.0;0
2017-03-21;9.0;0
2017-03-22;10.0;0
2017-03-23;13.0;0
2017-03-24;21.0;0
2017-03-25;13.0;0
2017-03-26;7.0;0
2017-03-27;9.0;0
2017-03-28;29.0;0
2017-03-29;45.0;0
2017-03-30;48.0;0
2017-03-31;23.0;0
2017-04-01;4.0;0
2017-04-02;2.0;0
2017-04-03;21.0;0
2017-04-04;13.0;0
2017-04-05;5.0;0
2017-04-06;19.0;0
2017-04-07;14.0;0
2017-04-08;17.0;0
2017-04-09;8.0;0
2017-04-10;5.0;1
2017-04-11;3.0;1
2017-04-12;4.0;1
2017-04-13;3.0;1
2017-04-14;2.0;1
2017-04-15;3.0;1
2017-04-16;7.0;1
2017-04-17;5.0;0
2017-04-18;3.0;0
2017-04-19;4.0;0
2017-04-20;8.0;0
2017-04-21;17.0;0
2017-04-22;10.0;0
2017-04-23;3.0;0
2017-04-24;14.0;0
2017-04-25;5.0;0
2017-04-26;6.0;0
2017-04-27;8.0;0
2017-04-28;14.0;0
2017-04-29;8.0;0
2017-04-30;3.0;0
2017-05-01;13.0;0
2017-05-02;13.0;0
2017-05-03;6.0;0
2017-05-04;13.0;0
2017-05-05;19.0;0
2017-05-06;7.0;0
2017-05-07;4.0;0
2017-05-08;13.0;0
2017-05-09;8.0;0
2017-05-10;12.0;0
2017-05-11;18.0;0
2017-05-12;8.0;0
2017-05-13;7.0;0
2017-05-14;6.0;0
2017-05-15;19.0;0
2017-05-16;15.0;0
2017-05-17;9.0;0
2017-05-18;10.0;0
2017-05-19;13.0;0
2017-05-20;6.0;0
2017-05-21;11.0;0
2017-05-22;3.0;0
2017-05-23;4.0;0
2017-05-24;6.0;0
2017-05-25;22.0;0
2017-05-26;23.0;0
2017-05-27;9.0;0
2017-05-28;2.0;0
2017-05-29;8.0;0
2017-05-30;5.0;0
2017-05-31;7.0;0
2017-06-01;11.0;0
2017-06-02;4.0;0
2017-06-03;4.0;0
2017-06-04;5.0;0
2017-06-05;12.0;0
2017-06-06;3.0;0
2017-06-07;9.0;0
2017-06-08;16.0;0
2017-06-09;17.0;0
2017-06-10;24.0;0
2017-06-11;19.0;0
2017-06-12;20.0;0
2017-06-13;20.0;0
2017-06-14;20.0;0
2017-06-15;21.0;0
2017-06-16;16.0;0
2017-06-17;16.0;0
2017-06-18;31.0;0
2017-06-19;50.0;0
2017-06-20;47.0;0
2017-06-21;29.0;0
2017-06-22;3.0;0
2017-06-23;3.0;0
2017-06-24;3.0;0
2017-06-25;3.0;0
2017-06-26;8.0;0
2017-06-27;6.0;0
2017-06-28;11.0;0
2017-06-29;7.0;0
2017-06-30;7.0;0
2017-07-01;4.0;0
2017-07-02;4.0;0
2017-07-03;4.0;0
2017-07-04;9.0;0
2017-07-05;3.0;0
2017-07-06;5.0;0
2017-07-07;6.0;0
2017-07-08;2.0;0
2017-07-09;2.0;0
2017-07-10;6.0;0
2017-07-11;6.0;0
2017-07-12;13.0;0
2017-07-13;5.0;0
2017-07-14;3.0;0
2017-07-15;4.0;0
2017-07-16;3.0;0
2017-07-17;6.0;0
2017-07-18;4.0;0
2017-07-19;9.0;0
2017-07-20;4.0;0
2017-07-21;5.0;0
2017-07-22;4.0;0
2017-07-23;2.0;0
2017-07-24;4.0;0
2017-07-25;4.0;0
2017-07-26;5.0;0
2017-07-27;11.0;0
2017-07-28;5.0;0
2017-07-29;6.0;0
2017-07-30;2.0;0
2017-07-31;5.0;1
2017-08-01;5.0;1
2017-08-02;11.0;1
2017-08-03;9.0;1
2017-08-04;12.0;1
2017-08-05;2.0;1
2017-08-06;2.0;1
2017-08-07;5.0;0
2017-08-08;6.0;0
2017-08-09;6.0;0
2017-08-10;5.0;0
2017-08-11;8.0;0
2017-08-12;5.0;0
2017-08-13;4.0;0
2017-08-14;5.0;1
2017-08-15;2.0;1
2017-08-16;5.0;1
2017-08-17;9.0;1
2017-08-18;6.0;1
2017-08-19;2.0;1
2017-08-20;6.0;1
2017-08-21;21.0;0
2017-08-22;9.0;0
2017-08-23;8.0;0
2017-08-24;4.0;0
2017-08-25;8.0;0
2017-08-26;9.0;0
2017-08-27;10.0;0
2017-08-28;11.0;0
2017-08-29;3.0;0
2017-08-30;4.0;0
2017-08-31;4.0;0
2017-09-01;11.0;0
2017-09-02;8.0;0
2017-09-03;6.0;0
2017-09-04;5.0;1
2017-09-05;9.0;1
2017-09-06;3.0;1
2017-09-07;8.0;1
2017-09-08;2.0;1
2017-09-09;3.0;1
2017-09-10;4.0;1
2017-09-11;4.0;0
2017-09-12;7.0;0
2017-09-13;15.0;0
2017-09-14;4.0;0
2017-09-15;8.0;0
2017-09-16;6.0;0
2017-09-17;3.0;0
2017-09-18;10.0;0
2017-09-19;9.0;0
2017-09-20;10.0;0
2017-09-21;16.0;0
2017-09-22;4.0;0
2017-09-23;13.0;0
2017-09-24;8.0;0
2017-09-25;9.0;0
2017-09-26;14.0;0
2017-09-27;35.0;0
2017-09-28;30.0;0
2017-09-29;28.0;0
2017-09-30;12.0;0
2017-10-01;10.0;0
2017-10-02;15.0;0
2017-10-03;12.0;0
2017-10-04;13.0;0
2017-10-05;11.0;0
2017-10-06;11.0;0
2017-10-07;12.0;0
2017-10-08;19.0;0
2017-10-09;31.0;0
2017-10-10;43.0;0
2017-10-11;52.0;0
2017-10-12;33.0;0
2017-10-13;38.0;0
2017-10-14;29.0;0
2017-10-15;85.0;0
2017-10-16;22.0;0
2017-10-17;32.0;0
2017-10-18;40.0;0
2017-10-19;42.0;0
2017-10-20;62.0;0
2017-10-21;11.0;0
2017-10-22;12.0;0
2017-10-23;37.0;0
2017-10-24;95.0;0
2017-10-25;77.0;0
2017-10-26;79.0;0
2017-10-27;55.0;0
2017-10-28;8.0;0
2017-10-29;8.0;0
2017-10-30;10.0;0
2017-10-31;55.0;0
2017-11-01;74.0;0
2017-11-02;74.0;0
2017-11-03;41.0;0
2017-11-04;27.0;0
2017-11-05;10.0;0
2017-11-06;43.0;0
2017-11-07;36.0;0
2017-11-08;30.0;0
2017-11-09;32.0;0
2017-11-10;28.0;0
2017-11-11;22.0;0
2017-11-12;13.0;0
2017-11-13;43.0;0
2017-11-14;50.0;0
2017-11-15;115.0;0
2017-11-16;121.0;0
2017-11-17;38.0;0
2017-11-18;57.0;0
2017-11-19;58.0;0
2017-11-20;151.0;1
2017-11-21;167.0;1
2017-11-22;74.0;1
2017-11-23;106.0;1
2017-11-24;27.0;1
2017-11-25;13.0;1
2017-11-26;29.0;1
2017-11-27;52.0;0
2017-11-28;39.0;0
2017-11-29;39.0;0
2017-11-30;26.0;0
2017-12-01;20.0;0
2017-12-02;17.0;0
2017-12-03;24.0;0
2017-12-04;64.0;0
2017-12-05;105.0;0
2017-12-06;69.0;0
2017-12-07;85.0;0
2017-12-08;10.0;0
2017-12-09;22.0;0
2017-12-10;13.0;0
2017-12-11;19.0;0
2017-12-12;38.0;0
2017-12-13;44.0;0
2017-12-14;24.0;0
2017-12-15;18.0;0
2017-12-16;17.0;0
2017-12-17;31.0;0
2017-12-18;56.0;0
2017-12-19;49.0;0
2017-12-20;77.0;0
2017-12-21;118.0;0
2017-12-22;94.0;0
2017-12-23;81.0;0
2017-12-24;76.0;0
2017-12-25;33.0;1
2017-12-26;45.0;1
2017-12-27;16.0;1
2017-12-28;44.0;1
2017-12-29;76.0;1
2017-12-30;133.0;1
2017-12-31;27.0;1
2018-01-01;15.0;0
2018-01-02;12.0;0
2018-01-03;13.0;0
2018-01-04;45.0;0
2018-01-05;13.0;0
2018-01-06;10.0;0
2018-01-07;15.0;0
2018-01-08;66.0;0
2018-01-09;63.0;0
2018-01-10;77.0;0
2018-01-11;14.0;0
2018-01-12;89.0;0
2018-01-13;62.0;0
2018-01-14;21.0;0
2018-01-15;42.0;0
2018-01-16;16.0;0
2018-01-17;28.0;0
2018-01-18;85.0;0
2018-01-19;92.0;0
2018-01-20;92.0;0
2018-01-21;92.0;0
2018-01-22;100.0;0
2018-01-23;68.0;0
2018-01-24;79.0;0
2018-01-25;17.0;0
2018-01-26;22.0;0
2018-01-27;14.0;0
2018-01-28;37.0;0
2018-01-29;101.0;0
2018-01-30;52.0;0
2018-01-31;29.0;0
2018-02-01;16.0;0
2018-02-02;22.0;0
2018-02-03;12.0;0
2018-02-04;8.0;0
2018-02-05;12.0;0
2018-02-06;28.0;0
2018-02-07;24.0;0
2018-02-08;26.0;0
2018-02-09;25.0;0
2018-02-10;16.0;0
2018-02-11;13.0;0
2018-02-12;27.0;1
2018-02-13;22.0;1
2018-02-14;163.0;1
2018-02-15;129.0;1
2018-02-16;53.0;1
2018-02-17;22.0;1
2018-02-18;12.0;1
2018-02-19;16.0;0
2018-02-20;16.0;0
2018-02-21;15.0;0
2018-02-22;29.0;0
2018-02-23;24.0;0
2018-02-24;30.0;0
2018-02-25;19.0;0
2018-02-26;18.0;0
2018-02-27;6.0;0
2018-02-28;28.0;0
2018-03-01;76.0;0
2018-03-02;28.0;0
2018-03-03;21.0;0
2018-03-04;7.0;0
2018-03-05;44.0;0
2018-03-06;16.0;0
2018-03-07;26.0;0
2018-03-08;43.0;0
2018-03-09;14.0;0
2018-03-10;16.0;0
2018-03-11;5.0;0
2018-03-12;9.0;0
2018-03-13;30.0;0
2018-03-14;19.0;0
2018-03-15;34.0;0
2018-03-16;28.0;0
2018-03-17;8.0;0
2018-03-18;6.0;0
2018-03-19;11.0;0
2018-03-20;11.0;0
2018-03-21;13.0;0
2018-03-22;25.0;0
2018-03-23;18.0;0
2018-03-24;7.0;0
2018-03-25;8.0;0
2018-03-26;23.0;0
2018-03-27;20.0;0
2018-03-28;21.0;0
2018-03-29;7.0;0
2018-03-30;7.0;0
2018-03-31;7.0;0
2018-04-01;20.0;0
2018-04-02;34.0;0
2018-04-03;10.0;0
2018-04-04;18.0;0
2018-04-05;18.0;0
2018-04-06;37.0;0
2018-04-07;6.0;0
2018-04-08;10.0;0
2018-04-09;11.0;0
2018-04-10;8.0;0
2018-04-11;12.0;0
2018-04-12;27.0;0
2018-04-13;15.0;0
2018-04-14;7.0;0
2018-04-15;3.0;0
2018-04-16;17.0;0
2018-04-17;26.0;0
2018-04-18;21.0;0
2018-04-19;12.0;0
2018-04-20;4.0;0
2018-04-21;23.0;0
2018-04-22;6.0;0
2018-04-23;4.0;0
2018-04-24;4.0;0
2018-04-25;4.0;0
2018-04-26;4.0;0
2018-04-27;9.0;0
2018-04-28;4.0;0
2018-04-29;4.0;0
2018-04-30;11.0;0
2018-05-01;3.0;0
2018-05-02;17.0;0
2018-05-03;8.0;0
2018-05-04;8.0;0
2018-05-05;6.0;0
2018-05-06;4.0;0
2018-05-07;21.0;1
2018-05-08;3.0;1
2018-05-09;5.0;1
2018-05-10;3.0;1
2018-05-11;17.0;1
2018-05-12;4.0;1
2018-05-13;4.0;1
2018-05-14;5.0;0
2018-05-15;9.0;0
2018-05-16;6.0;0
2018-05-17;4.0;0
2018-05-18;3.0;0
2018-05-19;2.0;0
2018-05-20;2.0;0
2018-05-21;10.0;0
2018-05-22;7.0;0
2018-05-23;4.0;0
2018-05-24;5.0;0
2018-05-25;4.0;0
2018-05-26;4.0;0
2018-05-27;2.0;0
2018-05-28;5.0;0
2018-05-29;7.0;0
2018-05-30;12.0;0
2018-05-31;4.0;0
2018-06-01;7.0;0
2018-06-02;7.0;0
2018-06-03;2.0;0
2018-06-04;7.0;0
