date;BEN;zscore_BEN;svm_BEN;fda_BEN;CO;zscore_CO;svm_CO;fda_CO;MXIL;zscore_MXIL;svm_MXIL;fda_MXIL;NO2;zscore_NO2;svm_NO2;fda_NO2;NO;zscore_NO;svm_NO;fda_NO;O3;zscore_O3;svm_O3;fda_O3;PM2_5;zscore_PM2_5;svm_PM2_5;fda_PM2_5;SO2;zscore_SO2;svm_SO2;fda_SO2;TOL;zscore_TOL;svm_TOL;fda_TOL
2017-01-01;1.02;0;0;0;0.67;0;0;0;2.51;0;0;0;43.0;0;0;0;93.0;1;0;0;5.0;0;0;0;28.0;1;0;0;16.0;0;0;0;8.43;1;0;0
2017-01-02;1.2;0;0;0;0.81;0;0;0;4.67;0;0;0;52.0;0;0;0;112.0;1;0;1;2.0;0;1;1;28.0;1;0;0;11.0;0;0;0;15.44;1;1;1
2017-01-03;0.83;0;0;0;0.56;0;0;0;1.94;0;0;0;44.0;0;0;0;101.0;1;0;1;9.0;0;0;1;29.0;1;0;0;8.0;0;0;0;10.59;1;0;1
2017-01-04;1.2;0;0;0;0.77;0;0;0;6.53;1;0;0;53.0;0;0;0;169.0;1;0;1;4.0;0;0;1;32.0;1;0;0;18.0;0;0;0;21.47;1;1;1
2017-01-05;0.95;0;0;0;0.75;0;0;0;3.41;0;0;0;45.0;0;0;0;104.0;1;0;1;12.0;0;0;1;26.0;0;0;0;9.0;0;0;0;15.59;1;1;1
2017-01-06;0.51;0;0;0;0.44;0;0;0;1.19;0;0;0;37.0;0;0;0;57.0;0;0;1;19.0;0;0;1;25.0;0;0;0;8.0;0;0;0;6.01;0;0;1
2017-01-07;0.76;0;0;0;0.46;0;0;0;1.31;0;0;0;44.0;0;0;0;90.0;1;0;1;15.0;0;0;1;27.0;0;0;0;13.0;0;0;0;7.66;1;0;1
2017-01-08;0.85;0;0;0;0.49;0;0;0;2.65;0;0;0;49.0;0;0;0;94.0;1;0;1;13.0;0;0;1;27.0;0;0;0;19.0;0;0;0;9.4;1;0;1
2017-01-09;1.4;0;0;1;0.75;0;0;0;6.22;1;0;1;67.0;1;1;1;170.0;1;1;0;9.0;0;0;0;30.0;1;0;0;25.0;1;0;0;19.67;1;1;1
2017-01-10;0.39;0;0;1;0.3;0;0;0;0.95;0;0;1;49.0;0;0;1;29.0;0;0;0;28.0;0;0;0;10.0;0;0;0;13.0;0;0;0;5.25;0;0;1
2017-01-11;0.2;0;0;1;0.26;0;0;0;0.88;0;0;1;42.0;0;0;1;37.0;0;0;0;32.0;0;0;0;10.0;0;0;0;8.0;0;0;0;4.37;0;0;1
2017-01-12;0.12;0;0;1;0.17;0;0;0;0.29;0;0;1;31.0;0;0;1;22.0;0;0;0;44.0;0;0;0;9.0;0;0;0;6.0;0;0;0;1.83;0;0;1
2017-01-13;0.12;0;0;1;0.2;0;0;0;0.32;0;0;1;40.0;0;0;1;12.0;0;0;0;67.0;1;0;0;6.0;0;0;0;5.0;0;0;0;1.54;0;0;1
2017-01-14;0.13;0;0;1;0.22;0;0;0;0.29;0;0;1;39.0;0;0;1;9.0;0;0;0;57.0;0;0;0;8.0;0;0;0;6.0;0;0;0;1.23;0;0;1
2017-01-15;0.14;0;0;1;0.28;0;0;0;0.26;0;0;1;39.0;0;0;1;8.0;0;0;0;44.0;0;0;0;10.0;0;0;0;9.0;0;0;0;1.77;0;0;1
2017-01-16;0.1;0;0;0;0.24;0;0;0;0.28;0;0;0;43.0;0;0;1;17.0;0;0;1;41.0;0;0;0;7.0;0;0;0;6.0;0;0;1;1.61;0;0;0
2017-01-17;0.14;0;0;0;0.24;0;0;0;0.56;0;0;0;41.0;0;0;1;32.0;0;0;1;50.0;0;0;0;7.0;0;0;0;27.0;1;0;1;1.36;0;0;0
2017-01-18;0.22;0;0;0;0.36;0;0;0;0.47;0;0;0;57.0;1;0;1;112.0;1;0;1;21.0;0;0;0;12.0;0;0;0;33.0;1;0;1;3.03;0;0;0
2017-01-19;0.27;0;0;0;0.37;0;0;0;0.54;0;0;0;55.0;1;0;1;72.0;0;0;1;16.0;0;0;0;16.0;0;0;0;23.0;1;0;1;3.17;0;0;0
2017-01-20;0.37;0;0;0;0.55;0;0;0;1.98;0;0;0;60.0;1;0;1;143.0;1;0;1;15.0;0;0;0;22.0;0;0;0;49.0;1;1;1;4.77;0;0;0
2017-01-21;0.48;0;0;0;0.73;0;0;0;2.09;0;0;0;57.0;1;0;1;107.0;1;0;1;12.0;0;0;0;24.0;0;0;0;68.0;1;1;1;4.71;0;0;0
2017-01-22;0.34;0;0;0;0.56;0;0;0;0.33;0;0;0;47.0;0;0;1;82.0;0;0;1;12.0;0;0;0;17.0;0;0;0;44.0;1;1;1;2.45;0;0;0
2017-01-23;0.6;0;0;0;0.57;0;0;0;1.39;0;0;0;48.0;0;0;0;83.0;0;0;0;15.0;0;0;0;16.0;0;0;0;30.0;1;0;1;4.63;0;0;0
2017-01-24;0.91;0;0;0;0.53;0;0;0;2.69;0;0;0;38.0;0;0;0;58.0;0;0;0;14.0;0;0;0;19.0;0;0;0;29.0;1;0;1;6.36;0;0;0
2017-01-25;0.98;0;0;0;0.58;0;0;0;3.2;0;0;0;41.0;0;0;0;67.0;0;0;0;10.0;0;0;0;22.0;0;0;0;4.0;0;0;1;7.46;1;0;0
2017-01-26;0.77;0;0;0;0.47;0;0;0;2.54;0;0;0;36.0;0;0;0;59.0;0;0;0;24.0;0;0;0;18.0;0;0;0;4.0;0;0;1;5.99;0;0;0
